MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift, NutritionQualitry
50, 5, 8.000000, 95, true, 0.450000

Tic, MuscleMass, Anabolic, Catabolic
0, 15.817523, 50.000000, 52.000000
1, 15.832352, 78.901355, 74.304501
2, 15.847271, 72.894683, 68.650372
3, 15.862422, 67.051500, 63.096956
4, 15.877617, 61.379267, 57.740672
5, 15.889848, 55.990085, 53.270500
6, 15.918607, 85.405637, 76.091182
7, 15.948073, 79.236568, 70.411205
8, 15.978480, 73.226692, 64.830065
9, 16.010146, 67.382660, 59.357845
10, 16.042764, 61.710643, 54.146450
11, 16.084639, 90.717593, 76.733921
12, 16.127814, 84.430845, 71.053886
13, 16.172607, 78.300300, 65.472493
14, 16.219409, 72.331880, 59.999563
15, 16.267347, 66.531211, 54.767002
16, 16.319720, 94.988604, 76.991185
17, 16.372541, 88.620512, 71.322833
18, 16.424830, 82.405641, 65.752674
19, 16.476087, 76.349536, 60.325464
20, 16.525510, 70.457241, 55.358534
21, 16.579602, 99.538249, 78.146198
22, 16.632998, 93.085381, 72.474348
23, 16.685567, 86.782880, 66.899083
24, 16.737159, 80.635669, 61.445346
25, 16.787332, 74.648330, 56.360605
26, 16.841931, 103.725316, 79.202327
27, 16.895744, 97.198415, 73.528380
28, 16.948653, 90.819233, 67.949452
29, 17.000522, 84.592294, 62.474616
30, 17.051255, 78.521805, 57.186473
31, 17.106345, 108.560835, 80.855552
32, 17.160536, 101.948384, 75.171130
33, 17.213759, 95.480612, 69.579103
34, 17.265950, 89.161675, 64.088207
35, 17.317042, 82.995470, 58.715181
36, 17.372485, 113.905245, 83.136484
37, 17.427044, 107.200739, 77.433174
38, 17.480660, 100.638087, 71.819220
39, 17.533272, 94.221079, 66.302934
40, 17.584815, 87.953276, 60.896958
41, 17.640642, 119.212599, 85.647859
42, 17.695607, 112.418607, 79.921796
43, 17.749656, 105.763900, 74.281889
44, 17.802731, 99.251881, 68.735935
45, 17.854769, 92.885813, 63.291948
46, 17.910999, 124.627268, 88.475376
47, 17.966394, 117.746595, 82.725619
48, 18.020900, 111.002560, 77.058359
49, 18.074463, 104.398404, 71.481125
50, 18.127024, 97.937155, 66.001525
51, 18.183690, 130.141440, 91.598716
52, 18.239544, 123.174579, 85.822381
53, 18.294537, 116.342193, 80.125196
54, 18.348618, 109.647186, 74.514153
55, 18.401733, 103.092312, 68.996381
56, 18.458802, 135.270308, 94.612173
57, 18.515084, 128.227424, 88.812972
58, 18.570531, 121.316789, 83.089396
59, 18.625096, 114.541224, 77.448238
60, 18.678726, 107.903324, 71.896289
61, 18.735985, 138.299621, 96.114448
62, 18.792472, 131.220391, 90.312178
63, 18.848137, 124.271958, 84.583646
64, 18.902935, 117.457114, 78.935582
65, 18.956815, 110.778354, 73.374600
66, 19.014487, 143.156183, 99.209709
67, 19.071404, 136.007304, 93.383508
68, 19.127525, 128.987694, 87.628211
69, 19.182806, 122.099836, 81.950014
70, 19.237198, 115.346037, 76.355141
71, 19.295178, 147.049134, 101.678828
72, 19.352421, 139.850097, 95.838862
73, 19.408887, 132.778972, 90.067459
74, 19.464532, 125.838099, 84.370541
75, 19.519311, 119.029654, 78.754052
76, 19.577706, 151.972452, 105.100685
77, 19.635387, 144.707032, 99.238013
78, 19.692315, 137.567843, 93.440661
79, 19.748449, 130.557136, 87.714311
80, 19.803747, 123.676974, 82.064616
81, 19.862622, 157.493301, 109.143456
82, 19.920806, 150.152679, 103.252737
83, 19.978262, 142.936747, 97.424027
84, 20.034954, 135.847599, 91.662654
85, 20.090841, 128.887145, 85.973907
86, 20.150071, 161.740205, 112.309200
87, 20.208629, 154.347571, 106.402065
88, 20.266478, 147.078392, 100.554414
89, 20.323585, 139.934631, 94.771297
90, 20.379911, 132.918093, 89.057736
91, 20.439432, 165.191026, 114.950372
92, 20.498297, 157.759764, 109.032403
93, 20.556472, 150.450707, 103.171536
94, 20.613922, 143.265873, 97.372806
95, 20.670610, 136.207029, 91.641089
96, 20.730564, 170.261096, 118.987730
97, 20.789881, 162.766383, 113.047676
98, 20.848528, 155.392771, 107.162075
99, 20.906475, 148.142050, 101.335536
100, 20.963686, 141.015855, 95.572621
101, 21.024187, 176.711411, 124.270278
102, 21.084074, 169.133251, 118.299756
103, 21.143318, 161.674900, 112.380384
104, 21.201890, 154.337944, 106.516351
105, 21.259758, 147.123868, 100.711863
106, 21.320658, 181.426349, 128.325335
107, 21.380963, 173.793386, 122.337269
108, 21.440645, 166.279031, 116.397628
109, 21.499676, 158.884867, 110.510488
110, 21.558026, 151.612319, 104.679854
111, 21.619349, 186.211716, 132.674799
112, 21.680095, 178.522954, 126.667489
113, 21.740238, 170.951821, 120.706058
114, 21.799750, 163.499824, 114.794377
115, 21.858604, 156.168308, 108.936229
116, 21.920358, 190.833675, 137.405077
117, 21.981563, 183.092441, 131.378045
118, 22.042184, 175.468061, 125.394445
119, 22.102195, 167.961884, 119.457855
