MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift, NutritionQualitry
50, 5, 8.000000, 95, true, 0.900000

Tic, MuscleMass, Anabolic, Catabolic
0, 16.361431, 50.000000, 52.000000
1, 16.403969, 84.475502, 71.257381
2, 16.455782, 82.615213, 62.134345
3, 16.505835, 80.710869, 53.974940
4, 16.555428, 78.763506, 52.000915
5, 16.605020, 76.773298, 52.000000
6, 16.658619, 112.574437, 71.688895
7, 16.710517, 111.505611, 62.553405
8, 16.760636, 110.407783, 54.259228
9, 16.810229, 109.280892, 52.002180
10, 16.859821, 108.124428, 52.000000
11, 16.913548, 145.916347, 72.437643
12, 16.965594, 145.915017, 63.306160
13, 17.015879, 145.916743, 54.985044
14, 17.065472, 145.921892, 52.000000
15, 17.115064, 145.930642, 52.000000
16, 17.168570, 182.891544, 71.244602
17, 17.220390, 184.093779, 62.208854
18, 17.270508, 185.344728, 54.264423
19, 17.320101, 186.636738, 52.004937
20, 17.369694, 187.965299, 52.000000
21, 17.423501, 199.990581, 72.911529
22, 17.475637, 199.998635, 63.766335
23, 17.526029, 200.000000, 55.453996
24, 17.575622, 200.000000, 52.001470
25, 17.625214, 200.000000, 52.000000
26, 17.679064, 200.000000, 73.148544
27, 17.731242, 200.000000, 63.971748
28, 17.781659, 200.000000, 55.565170
29, 17.831252, 200.000000, 52.001759
30, 17.880844, 200.000000, 52.000000
31, 17.934560, 200.000000, 72.401226
32, 17.986600, 200.000000, 63.289697
33, 18.036902, 200.000000, 55.067723
34, 18.086496, 200.000000, 52.008108
35, 18.136089, 200.000000, 52.000000
36, 18.190089, 200.000000, 74.000996
37, 18.242426, 200.000000, 64.784598
38, 18.293000, 200.000000, 56.275201
39, 18.342596, 200.000000, 52.017643
40, 18.392189, 200.000000, 52.000000
41, 18.446040, 200.000000, 73.167296
42, 18.498228, 200.000000, 64.023952
43, 18.548651, 200.000000, 55.598410
44, 18.598246, 200.000000, 52.008652
45, 18.647838, 200.000000, 52.000000
46, 18.701798, 200.000000, 73.795707
47, 18.754106, 200.000000, 64.629493
48, 18.804654, 200.000000, 56.155654
49, 18.854252, 200.000000, 52.025945
50, 18.903845, 200.000000, 52.000000
51, 18.957878, 200.000000, 74.198050
52, 19.010260, 200.000000, 65.004961
53, 19.060883, 200.000000, 56.492075
54, 19.110477, 200.000000, 52.006553
55, 19.160069, 200.000000, 52.000000
56, 19.214204, 200.000000, 74.789870
57, 19.266696, 200.000000, 65.571071
58, 19.317434, 200.000000, 57.008390
59, 19.367038, 200.000000, 52.046609
60, 19.416630, 200.000000, 52.000000
61, 19.470731, 200.000000, 74.641167
62, 19.523198, 200.000000, 65.470717
63, 19.573934, 200.000000, 57.006378
64, 19.623533, 200.000000, 52.026411
65, 19.673125, 200.000000, 52.000000
66, 19.727258, 200.000000, 74.830872
67, 19.779758, 200.000000, 65.638689
68, 19.830536, 200.000000, 57.197695
69, 19.880142, 200.000000, 52.056184
70, 19.929735, 200.000000, 52.000000
71, 19.983734, 200.000000, 74.073304
72, 20.036097, 200.000000, 64.946820
73, 20.086737, 200.000000, 56.579015
74, 20.136336, 200.000000, 52.026954
75, 20.185929, 200.000000, 52.000000
76, 20.239810, 200.000000, 73.376230
77, 20.292049, 200.000000, 64.298008
78, 20.342542, 200.000000, 55.918699
79, 20.392139, 200.000000, 52.015276
80, 20.441731, 200.000000, 52.000000
81, 20.496082, 200.000000, 76.112325
82, 20.548817, 200.000000, 66.868111
83, 20.599832, 200.000000, 58.283663
84, 20.649461, 200.000000, 52.154238
85, 20.699054, 200.000000, 52.000000
86, 20.753281, 200.000000, 75.490934
87, 20.805906, 200.000000, 66.350583
