"export-plot data (NetLogo 6.4.0)"
"Muscle Development.nlogo"
"05/12/2024 14:06:31:073 +1000"

"MODEL SETTINGS"
"%-slow-twitch-fibers","days-between-workouts","hours-of-sleep","intensity","lift?"
"50","9","8","95","true"

"""Hormones"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3610","0","218","true","""anabolic""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""anabolic""","true","0","1","0","3191"
"""catabolic""","true","0","1","45","3191"

"""anabolic""",,,,"""catabolic"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","0","true","0","52","45","true"
"1","80.13251917156082","0","true","1","74.41460600721804","45","true"
"2","74.59094681872004","0","true","2","68.33946508999644","45","true"
"3","69.16646871943539","0","true","3","62.409648914710885","45","true"
"4","63.866388037530044","0","true","4","56.635381554986964","45","true"
"5","58.697850633461464","0","true","5","52.32205001013751","45","true"
"6","53.702078778568044","0","true","6","52","45","true"
"7","50.29510587287486","0","true","7","52","45","true"
"8","50","0","true","8","52","45","true"
"9","50","0","true","9","52","45","true"
"10","79.919524506948","0","true","10","74.24435300350294","45","true"
"11","74.39039795452392","0","true","11","68.17957420411602","45","true"
"12","68.97823577832908","0","true","12","62.26006971302136","45","true"
"13","63.69038646982553","0","true","13","56.49610136773235","45","true"
"14","58.53399538257641","0","true","14","52.39042301840289","45","true"
"15","53.516197238037336","0","true","15","52","45","true"
"16","50.36169510771246","0","true","16","52","45","true"
"17","50","0","true","17","52","45","true"
"18","50","0","true","18","52","45","true"
"19","81.36452889716178","0","true","19","75.39829081290249","45","true"
"20","75.81303989986785","0","true","20","69.31272464519016","45","true"
"21","70.37698395881515","0","true","21","63.3707281278913","45","true"
"22","65.06346410663495","0","true","22","57.582278591794086","45","true"
"23","59.87944171425352","0","true","23","52.597296393015824","45","true"
"24","54.83216491137873","0","true","24","52","45","true"
"25","50.57132866129681","0","true","25","52","45","true"
"26","50","0","true","26","52","45","true"
"27","50","0","true","27","52","45","true"
"28","81.46883081057119","0","true","28","75.48167859081718","45","true"
"29","75.92367561363798","0","true","29","69.40095684173983","45","true"
"30","70.49381851071496","0","true","30","63.463634866316596","45","true"
"31","65.18620737674499","0","true","31","57.67956084453283","45","true"
"32","60.007737585762094","0","true","32","52.71841096651918","45","true"
"33","54.96582029241597","0","true","33","52","45","true"
"34","50.742564760327504","0","true","34","52","45","true"
"35","50","0","true","35","52","45","true"
"36","50","0","true","36","52","45","true"
