"export-plot data (NetLogo 6.4.0)"
"Muscle Development.nlogo"
"05/12/2024 14:07:31:049 +1000"

"MODEL SETTINGS"
"%-slow-twitch-fibers","days-between-workouts","hours-of-sleep","intensity","lift?"
"50","3","8","95","false"

"""Hormones"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3610","0","55","true","""anabolic""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""anabolic""","true","0","1","0","3185"
"""catabolic""","true","0","1","45","3185"

"""anabolic""",,,,"""catabolic"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","0","true","0","52","45","true"
"1","50","0","true","1","52","45","true"
"2","50","0","true","2","52","45","true"
"3","50","0","true","3","52","45","true"
"4","50","0","true","4","52","45","true"
"5","50","0","true","5","52","45","true"
"6","50","0","true","6","52","45","true"
"7","50","0","true","7","52","45","true"
"8","50","0","true","8","52","45","true"
"9","50","0","true","9","52","45","true"
"10","50","0","true","10","52","45","true"
"11","50","0","true","11","52","45","true"
"12","50","0","true","12","52","45","true"
"13","50","0","true","13","52","45","true"
"14","50","0","true","14","52","45","true"
"15","50","0","true","15","52","45","true"
"16","50","0","true","16","52","45","true"
"17","50","0","true","17","52","45","true"
"18","50","0","true","18","52","45","true"
"19","50","0","true","19","52","45","true"
"20","50","0","true","20","52","45","true"
"21","50","0","true","21","52","45","true"
"22","50","0","true","22","52","45","true"
"23","50","0","true","23","52","45","true"
"24","50","0","true","24","52","45","true"
"25","50","0","true","25","52","45","true"
"26","50","0","true","26","52","45","true"
"27","50","0","true","27","52","45","true"
"28","50","0","true","28","52","45","true"
"29","50","0","true","29","52","45","true"
"30","50","0","true","30","52","45","true"
"31","50","0","true","31","52","45","true"
"32","50","0","true","32","52","45","true"
"33","50","0","true","33","52","45","true"
"34","50","0","true","34","52","45","true"
"35","50","0","true","35","52","45","true"
"36","50","0","true","36","52","45","true"
"37","50","0","true","37","52","45","true"
"38","50","0","true","38","52","45","true"
"39","50","0","true","39","52","45","true"
"40","50","0","true","40","52","45","true"
"41","50","0","true","41","52","45","true"
"42","50","0","true","42","52","45","true"
"43","50","0","true","43","52","45","true"
"44","50","0","true","44","52","45","true"
"45","50","0","true","45","52","45","true"
"46","50","0","true","46","52","45","true"
"47","50","0","true","47","52","45","true"
"48","50","0","true","48","52","45","true"
"49","50","0","true","49","52","45","true"
"50","50","0","true","50","52","45","true"
"51","50","0","true","51","52","45","true"
"52","50","0","true","52","52","45","true"
"53","50","0","true","53","52","45","true"
"54","50","0","true","54","52","45","true"
"55","50","0","true","55","52","45","true"
"56","50","0","true","56","52","45","true"
"57","50","0","true","57","52","45","true"
"58","50","0","true","58","52","45","true"
"59","50","0","true","59","52","45","true"
"60","50","0","true","60","52","45","true"
"61","50","0","true","61","52","45","true"
"62","50","0","true","62","52","45","true"
"63","50","0","true","63","52","45","true"
"64","50","0","true","64","52","45","true"
"65","50","0","true","65","52","45","true"
"66","50","0","true","66","52","45","true"
"67","50","0","true","67","52","45","true"
"68","50","0","true","68","52","45","true"
"69","50","0","true","69","52","45","true"
"70","50","0","true","70","52","45","true"
"71","50","0","true","71","52","45","true"
"72","50","0","true","72","52","45","true"
"73","50","0","true","73","52","45","true"
"74","50","0","true","74","52","45","true"
"75","50","0","true","75","52","45","true"
"76","50","0","true","76","52","45","true"
"77","50","0","true","77","52","45","true"
"78","50","0","true","78","52","45","true"
"79","50","0","true","79","52","45","true"
"80","50","0","true","80","52","45","true"
"81","50","0","true","81","52","45","true"
"82","50","0","true","82","52","45","true"
"83","50","0","true","83","52","45","true"
"84","50","0","true","84","52","45","true"
"85","50","0","true","85","52","45","true"
"86","50","0","true","86","52","45","true"
"87","50","0","true","87","52","45","true"
"88","50","0","true","88","52","45","true"
"89","50","0","true","89","52","45","true"
"90","50","0","true","90","52","45","true"
"91","50","0","true","91","52","45","true"
"92","50","0","true","92","52","45","true"
"93","50","0","true","93","52","45","true"
"94","50","0","true","94","52","45","true"
"95","50","0","true","95","52","45","true"
"96","50","0","true","96","52","45","true"
"97","50","0","true","97","52","45","true"
"98","50","0","true","98","52","45","true"
"99","50","0","true","99","52","45","true"
"100","50","0","true","100","52","45","true"
"101","50","0","true","101","52","45","true"
"102","50","0","true","102","52","45","true"
"103","50","0","true","103","52","45","true"
"104","50","0","true","104","52","45","true"
"105","50","0","true","105","52","45","true"
"106","50","0","true","106","52","45","true"
"107","50","0","true","107","52","45","true"
"108","50","0","true","108","52","45","true"
"109","50","0","true","109","52","45","true"
"110","50","0","true","110","52","45","true"
"111","50","0","true","111","52","45","true"
"112","50","0","true","112","52","45","true"
"113","50","0","true","113","52","45","true"
"114","50","0","true","114","52","45","true"
"115","50","0","true","115","52","45","true"
"116","50","0","true","116","52","45","true"
"117","50","0","true","117","52","45","true"
"118","50","0","true","118","52","45","true"
"119","50","0","true","119","52","45","true"
"120","50","0","true","120","52","45","true"
"121","50","0","true","121","52","45","true"
"122","50","0","true","122","52","45","true"
"123","50","0","true","123","52","45","true"
"124","50","0","true","124","52","45","true"
"125","50","0","true","125","52","45","true"
"126","50","0","true","126","52","45","true"
"127","50","0","true","127","52","45","true"
"128","50","0","true","128","52","45","true"
"129","50","0","true","129","52","45","true"
"130","50","0","true","130","52","45","true"
"131","50","0","true","131","52","45","true"
"132","50","0","true","132","52","45","true"
"133","50","0","true","133","52","45","true"
"134","50","0","true","134","52","45","true"
"135","50","0","true","135","52","45","true"
"136","50","0","true","136","52","45","true"
"137","50","0","true","137","52","45","true"
"138","50","0","true","138","52","45","true"
