"export-plot data (NetLogo 6.4.0)"
"Muscle Development.nlogo"
"05/02/2024 20:51:05:020 +1000"

"MODEL SETTINGS"
"%-slow-twitch-fibers","days-between-workouts","hours-of-sleep","intensity","lift?"
"50","5","12","95","true"

"""Hormones"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3610","0","214","true","""anabolic""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""anabolic""","true","0","1","0","3084"
"""catabolic""","true","0","1","45","3084"

"""anabolic""",,,,"""catabolic"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","0","true","0","52","45","true"
"1","75.76423325314575","0","true","1","70.07554276611482","45","true"
"2","66.69340636658532","0","true","2","60.3998673059396","45","true"
"3","57.93258843209899","0","true","3","52.43515136921948","45","true"
"4","50.597390612829436","0","true","4","52","45","true"
"5","50","0","true","5","52","45","true"
"6","76.301342294198","0","true","6","70.50408125527147","45","true"
"7","67.21658457645792","0","true","7","60.82461885962797","45","true"
"8","58.451208705403985","0","true","8","52.57560113316847","45","true"
"9","50.88107942421794","0","true","9","52","45","true"
"10","50","0","true","10","52","45","true"
"11","77.26823887381954","0","true","11","71.27563144810343","45","true"
"12","68.15536478571278","0","true","12","61.56142606474731","45","true"
"13","59.34860344713029","0","true","13","52.87139603775071","45","true"
"14","51.30091192073879","0","true","14","52","45","true"
"15","50","0","true","15","52","45","true"
"16","77.26949526236251","0","true","16","71.27653062264496","45","true"
"17","68.16109631354942","0","true","17","61.56588227654983","45","true"
"18","59.358582989803004","0","true","18","52.90425085295445","45","true"
"19","51.37447878079186","0","true","19","52","45","true"
"20","50","0","true","20","52","45","true"
"21","76.78295897439641","0","true","21","70.88836149257209","45","true"
"22","67.69443487602791","0","true","22","61.195185158005465","45","true"
"23","58.91303560441962","0","true","23","52.682668033902885","45","true"
"24","51.06342704981512","0","true","24","52","45","true"
"25","50","0","true","25","52","45","true"
"26","78.19004581073615","0","true","26","72.01106822781243","45","true"
"27","69.06084762717096","0","true","27","62.28073054981014","45","true"
"28","60.23485097747895","0","true","28","53.42763363370661","45","true"
"29","52.14913539441789","0","true","29","52","45","true"
"30","50","0","true","30","52","45","true"
"31","76.83874862358121","0","true","31","70.93276506877092","45","true"
"32","67.75794046286106","0","true","32","61.24553112056085","45","true"
"33","58.9833353340409","0","true","33","52.76920712919316","45","true"
"34","51.142529579765096","0","true","34","52","45","true"
"35","50","0","true","35","52","45","true"
"36","77.19247579624044","0","true","36","71.21479844228193","45","true"
"37","68.10576513173801","0","true","37","61.52591809485446","45","true"
"38","59.325948603966474","0","true","38","53.08896475679977","45","true"
"39","51.55650126347873","0","true","39","52","45","true"
"40","50","0","true","40","52","45","true"
"41","77.46301457260088","0","true","41","71.43067570185637","45","true"
"42","68.36954285416542","0","true","42","61.73127327174509","45","true"
"43","59.58029907181676","0","true","43","52.85670609394058","45","true"
"44","51.40447953102698","0","true","44","52","45","true"
"45","50","0","true","45","52","45","true"
"46","77.01743117566913","0","true","46","71.07516538168022","45","true"
"47","67.94437413588187","0","true","47","61.396895155033526","45","true"
"48","59.18150960089711","0","true","48","53.00825199067228","45","true"
"49","51.45680019967208","0","true","49","52","45","true"
"50","50","0","true","50","52","45","true"
"51","77.57444303082666","0","true","51","71.5195571760599","45","true"
"52","68.4868332741767","0","true","52","61.83093843257266","45","true"
"53","59.70763420767047","0","true","53","53.163034111298586","45","true"
"54","51.730849317179185","0","true","54","52","45","true"
"55","50","0","true","55","52","45","true"
"56","78.13071299934401","0","true","56","71.96343948994941","45","true"
"57","69.02963780993078","0","true","57","62.25571000617605","45","true"
"58","60.230351688477064","0","true","58","53.35953807871228","45","true"
"59","52.03043108536914","0","true","59","52","45","true"
"60","50","0","true","60","52","45","true"
"61","78.10914811512501","0","true","61","71.94614440032123","45","true"
"62","69.01260061229802","0","true","62","62.242115210044894","45","true"
"63","60.21795151193184","0","true","63","53.296977742489844","45","true"
"64","51.95192819884534","0","true","64","52","45","true"
"65","50","0","true","65","52","45","true"
"66","77.90023558114791","0","true","66","71.77941895758914","45","true"
"67","68.81418027237817","0","true","67","62.08446590034793","45","true"
"68","60.03077581921715","0","true","68","53.168332147204744","45","true"
"69","51.79706923058858","0","true","69","52","45","true"
"70","50","0","true","70","52","45","true"
"71","77.35384433148737","0","true","71","71.34344073864226","45","true"
"72","68.29131559181714","0","true","72","61.66903660290472","45","true"
"73","59.53239038028342","0","true","73","53.18800494806256","45","true"
"74","51.73607561154841","0","true","74","52","45","true"
"75","50","0","true","75","52","45","true"
"76","78.21300430726114","0","true","76","72.02888542423636","45","true"
"77","69.12779537976145","0","true","77","62.33350236960443","45","true"
"78","60.34319574990287","0","true","78","53.506755487945085","45","true"
