"export-plot data (NetLogo 6.4.0)"
"Muscle Development.nlogo"
"05/02/2024 20:49:05:929 +1000"

"MODEL SETTINGS"
"%-slow-twitch-fibers","days-between-workouts","hours-of-sleep","intensity","lift?"
"50","5","8","95","true"

"""Hormones"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3610","0","234","true","""anabolic""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""anabolic""","true","0","1","0","3094"
"""catabolic""","true","0","1","45","3094"

"""anabolic""",,,,"""catabolic"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","50","0","true","0","52","45","true"
"1","77.55011128468884","0","true","1","72.35257496271704","45","true"
"2","72.02304254143759","0","true","2","66.2941622062005","45","true"
"3","66.61565353978938","0","true","3","60.384147158126545","45","true"
"4","61.33629788301834","0","true","4","54.791668854790224","45","true"
"5","56.192731555938984","0","true","5","52.04291652403085","45","true"
"6","84.79428501086046","0","true","6","73.32870527353926","45","true"
"7","79.13051824056346","0","true","7","67.25409641636169","45","true"
"8","73.58128586445945","0","true","8","61.32812439971991","45","true"
"9","68.15349727668038","0","true","9","55.61520066636226","45","true"
"10","62.85377318912257","0","true","10","52.15112949221077","45","true"
"11","92.47202855347984","0","true","11","74.34003673874845","45","true"
"12","86.6822374360064","0","true","12","68.25523831566457","45","true"
"13","81.00089659844991","0","true","13","62.31791241804226","45","true"
"14","75.43377609405228","0","true","14","56.54641306980599","45","true"
"15","69.98636952655015","0","true","15","52.21294960846594","45","true"
"16","100.42033808422016","0","true","16","75.14152113609538","45","true"
"17","94.51451342424774","0","true","17","69.05349086643865","45","true"
"18","88.7110528274699","0","true","18","63.11163568657651","45","true"
"19","83.01479209683353","0","true","19","57.32553491992684","45","true"
"20","77.43051215770052","0","true","20","52.56819110801919","45","true"
"21","107.6649504951359","0","true","21","75.42146657072756","45","true"
"22","101.66365889539139","0","true","22","69.34241692605309","45","true"
"23","95.75946036891531","0","true","23","63.40860963408177","45","true"
"24","89.95673041835485","0","true","24","57.629578719700405","45","true"
"25","84.2597500343401","0","true","25","52.74948237511327","45","true"
"26","115.88437930131802","0","true","26","76.77922728662561","45","true"
"27","109.78082013271954","0","true","27","70.68466734015804","45","true"
"28","103.76909250541003","0","true","28","64.7329619447686","45","true"
"29","97.85314332106877","0","true","29","58.933412624257166","45","true"
"30","92.03680887990184","0","true","30","53.499499667206095","45","true"
"31","122.6107166612384","0","true","31","76.76365793667355","45","true"
"32","116.43313530944768","0","true","32","70.6847115751146","45","true"
"33","110.34336113946686","0","true","33","64.74796392339202","45","true"
"34","104.34509866226296","0","true","34","58.96284163185549","45","true"
"35","98.4418611756543","0","true","35","53.58844513983645","45","true"
"36","129.43268289873473","0","true","36","77.24525731317915","45","true"
"37","123.18407437858976","0","true","37","71.17000038147637","45","true"
"38","117.0197348531552","0","true","38","65.23596164336125","45","true"
"39","110.94303560688202","0","true","39","59.45239339811022","45","true"
"40","104.95718361906843","0","true","40","54.10515149364146","45","true"
"41","136.58665225710013","0","true","41","78.31959062041103","45","true"
"42","130.2673218805836","0","true","42","72.23511557164399","45","true"
"43","124.02887086030853","0","true","43","66.2901377273734","45","true"
"44","117.87434861708718","0","true","44","60.49360249010444","45","true"
"45","111.80668933387098","0","true","45","54.97553446457476","45","true"
"46","144.60586176616098","0","true","46","80.15904098134725","45","true"
"47","138.2098329174365","0","true","47","74.04837720342107","45","true"
"48","131.89133812414684","0","true","48","68.07474005348121","45","true"
"49","125.65310003046658","0","true","49","62.24661200656606","45","true"
"50","119.49777786004269","0","true","50","56.57389434733079","45","true"
"51","152.01016922394547","0","true","51","81.56516088398799","45","true"
"52","145.54925824186932","0","true","52","75.43892995991764","45","true"
"53","139.16293604099957","0","true","53","69.4476179014584","45","true"
"54","132.85372253808677","0","true","54","63.59949134700667","45","true"
"55","126.62406702343647","0","true","55","57.90321831697621","45","true"
"56","158.4217887015952","0","true","56","82.36099349499173","45","true"
"57","151.91008874119268","0","true","57","76.2322137885682","45","true"
"58","145.47051098000915","0","true","58","70.2368717704567","45","true"
"59","139.10548103129167","0","true","59","64.38326106736135","45","true"
"60","132.81729355652033","0","true","60","58.67990400952476","45","true"
"61","164.89594662633718","0","true","61","83.3947644716364","45","true"
"62","158.33495872164661","0","true","62","77.25777992863671","45","true"
"63","151.84393105466944","0","true","63","71.25291824811246","45","true"
"64","145.42506903717705","0","true","64","65.38812134369236","45","true"
"65","139.08049864285604","0","true","65","59.671655942768645","45","true"
"66","171.43865562122502","0","true","66","84.63585675249936","45","true"
"67","164.83039832077924","0","true","67","78.48758614029896","45","true"
"68","158.2898351119955","0","true","68","72.46932940462152","45","true"
"69","151.81910134313412","0","true","69","66.5890012341465","45","true"
"70","145.42022293601673","0","true","70","60.85473250380804","45","true"
"71","178.37888535230732","0","true","71","86.31820675890779","45","true"
"72","171.72146484601734","0","true","72","80.14883747582937","45","true"
"73","165.12970508379493","0","true","73","74.10748607736596","45","true"
"74","158.60558664544178","0","true","74","68.20175551874564","45","true"
"75","152.15098851678408","0","true","75","62.43945407159165","45","true"
"76","185.3934254903376","0","true","76","88.14445592769812","45","true"
"77","178.68856397439762","0","true","77","81.95198826468508","45","true"
"78","172.04741446435978","0","true","78","75.88537455446237","45","true"
"79","165.47181951431372","0","true","79","69.95191527904014","45","true"
"80","158.96354188594916","0","true","80","64.15914849683614","45","true"
"81","192.6891348252556","0","true","81","90.51393772292595","45","true"
"82","185.9368231699218","0","true","82","84.28955706494897","45","true"
"83","179.24633382344302","0","true","83","78.18833502905628","45","true"
"84","172.6193773152389","0","true","84","72.21726948203953","45","true"
"85","166.0575998143812","0","true","85","66.3835746355389","45","true"
"86","196.74964647526338","0","true","86","91.74536701921963","45","true"
"87","189.97841019015436","0","true","87","85.51029087449469","45","true"
"88","183.2680053946015","0","true","88","79.39670883966106","45","true"
"89","176.62004460506103","0","true","89","73.41163402957143","45","true"
"90","170.03609112451173","0","true","90","67.56213264486836","45","true"
"91","198.89447793864872","0","true","91","93.00112510961672","45","true"
"92","192.12088250378966","0","true","92","86.75478582557712","45","true"
"93","185.4076017265238","0","true","93","80.62872482028526","45","true"
"94","178.75612203348152","0","true","94","74.62967796598397","45","true"
"95","172.16795388362758","0","true","95","68.76448106815343","45","true"
"96","199.45821401978193","0","true","96","95.39727520734223","45","true"
"97","192.69555872083188","0","true","97","89.12045464307369","45","true"
"98","185.99295065197842","0","true","98","82.96144456061239","45","true"
"99","179.35184588540204","0","true","99","76.92669946495174","45","true"
"100","172.7737381704234","0","true","100","71.02277409111814","45","true"
"101","199.20254474682613","0","true","101","97.10359290054768","45","true"
"102","192.45757319737734","0","true","102","90.80976275708463","45","true"
"103","185.77251432244412","0","true","103","84.63172704481902","45","true"
"104","179.1488289198931","0","true","104","78.57582235493715","45","true"
"105","172.5880099516759","0","true","105","72.6484542610428","45","true"
"106","199.72724590180536","0","true","106","100.4853335755253","45","true"
"107","192.9932207748517","0","true","107","94.14428628227509","45","true"
"108","186.3188766609699","0","true","108","87.91619057565197","45","true"
"109","179.70563397138997","0","true","109","81.80693108188703","45","true"
"110","173.15496797541923","0","true","110","75.82253118400652","45","true"
"111","199.6431134819804","0","true","111","102.93441869997716","45","true"
"112","192.92504411804873","0","true","112","96.56447226933976","45","true"
"113","186.2665092089605","0","true","113","90.30516942597401","45","true"
"114","179.66892493061746","0","true","114","84.1622647468867","45","true"
"115","173.13376043417827","0","true","115","78.14157020762487","45","true"
"116","199.69059576645742","0","true","116","105.43151908634046","45","true"
"117","192.98726653903856","0","true","117","99.03194398380015","45","true"
"118","186.34329214852866","0","true","118","92.7410097070407","45","true"
"119","179.7600880274301","0","true","119","86.56421394134563","45","true"
"120","173.23911691697575","0","true","120","80.50710844188433","45","true"
"121","199.7663577105031","0","true","121","108.59781586972043","45","true"
"122","193.07737511892486","0","true","122","102.15924341681341","45","true"
"123","186.44759126902534","0","true","123","95.82680362342617","45","true"
"124","179.878401087443","0","true","124","89.60574143068617","45","true"
"125","173.37125826385537","0","true","125","83.5013520222733","45","true"
"126","199.7920385201269","0","true","126","111.60327976274178","45","true"
"127","193.11772820584955","0","true","127","105.12931823714244","45","true"
"128","186.50245430644006","0","true","128","98.75923648420468","45","true"
"129","179.94760609519278","0","true","129","92.4980449915994","45","true"
"130","173.45463019780175","0","true","130","86.35079562428432","45","true"
"131","199.8336499568836","0","true","131","115.34614970053747","45","true"
"132","193.17376883863176","0","true","132","108.82781884440958","45","true"
"133","186.57276229986928","0","true","133","102.4106948250347","45","true"
"134","180.03201437147789","0","true","134","96.09951575990621","45","true"
"135","173.55296472654751","0","true","135","89.8990799358656","45","true"
"136","199.8467714025933","0","true","136","118.3516834446488","45","true"
"137","193.2014449949436","0","true","137","111.80096033998498","45","true"
"138","186.61484085434316","0","true","138","105.34950410478469","45","true"
"139","180.08833188653293","0","true","139","99.0017987599032","45","true"
"140","173.62335075013513","0","true","140","92.76240752118221","45","true"
"141","199.93039724370337","0","true","141","121.85532915009311","45","true"
"142","193.29892440345293","0","true","142","115.26575321640398","45","true"
"143","186.7260105161222","0","true","143","108.77317030762244","45","true"
"144","180.2130171968678","0","true","144","102.38187747961011","45","true"
"145","173.76136914111936","0","true","145","96.09622622800573","45","true"
"146","199.98852164791506","0","true","146","126.54440293214932","45","true"
"147","193.37101473138648","0","true","147","119.90157765553009","45","true"
"148","186.81191543582568","0","true","148","113.35304061901346","45","true"
