MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 5, 8.000000, 65, true

Tic, MuscleMass, Anabolic, Catabolic
0, 15.759863, 50.000000, 52.000000
1, 15.767777, 62.613258, 60.517504
2, 15.777716, 57.594361, 55.267075
3, 15.781246, 53.038708, 52.226966
4, 15.773199, 50.365426, 52.000000
5, 15.763354, 50.000000, 52.000000
6, 15.771184, 62.533004, 60.459623
7, 15.780788, 57.529688, 55.271886
8, 15.784445, 53.071909, 52.234150
9, 15.776339, 50.354549, 52.000000
10, 15.766494, 50.000000, 52.000000
11, 15.773859, 62.332167, 60.347405
12, 15.782799, 57.413736, 55.288014
13, 15.786071, 53.069978, 52.304550
14, 15.778262, 50.417437, 52.000000
15, 15.768442, 50.005202, 52.000000
16, 15.776547, 63.049068, 60.859905
17, 15.786406, 58.001976, 55.643211
18, 15.790099, 53.559221, 52.661112
19, 15.784545, 50.902808, 52.009847
20, 15.774880, 50.036581, 52.000000
21, 15.783170, 62.845250, 60.647491
22, 15.793398, 57.767035, 55.361631
23, 15.796698, 53.200333, 52.415050
24, 15.789707, 50.595909, 52.003625
25, 15.780080, 50.044607, 52.000000
26, 15.786759, 61.451646, 59.639004
27, 15.793802, 56.660215, 54.941076
28, 15.795599, 52.823172, 52.348370
29, 15.788473, 50.573549, 52.008199
30, 15.778833, 50.042157, 52.000000
31, 15.786219, 61.942684, 59.966226
32, 15.794886, 57.027133, 54.972417
33, 15.796448, 52.763810, 52.346464
34, 15.789068, 50.508698, 52.000000
35, 15.779276, 50.010712, 52.000000
36, 15.785514, 60.550882, 58.905340
37, 15.791938, 55.637015, 54.120233
38, 15.789472, 51.731864, 52.180632
39, 15.780694, 50.239938, 52.015181
40, 15.771011, 50.033767, 52.000000
41, 15.775475, 58.911251, 57.698613
42, 15.778852, 54.339721, 53.501293
43, 15.773579, 51.073104, 52.114846
44, 15.764295, 50.116111, 52.000000
45, 15.754454, 50.000804, 52.000000
46, 15.762587, 62.870892, 60.704944
47, 15.772390, 57.853231, 55.527726
48, 15.776739, 53.388106, 52.389681
49, 15.769386, 50.511412, 52.000000
50, 15.759541, 50.000000, 52.000000
51, 15.767182, 62.566838, 60.498262
52, 15.776342, 57.556097, 55.370056
53, 15.778917, 53.124565, 52.482763
54, 15.771934, 50.613259, 52.015522
55, 15.762358, 50.054825, 52.000000
56, 15.770059, 62.182572, 60.135658
57, 15.779104, 57.234038, 55.086636
58, 15.781038, 52.973514, 52.468250
59, 15.774291, 50.691423, 52.039774
60, 15.764965, 50.108475, 52.000000
61, 15.771575, 60.746421, 59.002003
62, 15.778244, 55.908056, 54.319587
63, 15.777551, 52.072663, 52.154249
64, 15.768884, 50.241691, 52.000000
65, 15.759045, 50.001246, 52.000000
66, 15.766335, 62.447673, 60.455387
67, 15.774860, 57.589812, 55.522520
68, 15.778429, 53.394964, 52.537682
69, 15.772039, 50.729714, 52.011926
70, 15.762398, 50.041720, 52.000000
71, 15.768669, 60.828910, 59.148437
72, 15.775229, 56.019533, 54.449026
73, 15.774486, 52.140800, 52.224841
74, 15.765952, 50.269960, 52.000000
75, 15.756107, 50.000000, 52.000000
76, 15.762139, 60.448041, 58.846349
77, 15.768130, 55.561395, 54.135169
78, 15.765727, 51.780954, 52.213262
79, 15.757059, 50.242765, 52.000000
80, 15.747214, 50.000000, 52.000000
81, 15.755190, 62.877488, 60.737825
82, 15.764778, 57.827149, 55.539095
83, 15.768139, 53.382848, 52.567446
84, 15.761876, 50.777185, 52.027773
85, 15.752491, 50.095573, 52.000000
86, 15.760138, 62.311432, 60.247147
87, 15.768621, 57.279546, 55.239210
88, 15.770648, 53.018362, 52.487374
89, 15.763691, 50.617898, 52.016775
90, 15.754019, 50.035717, 52.000000
91, 15.761455, 62.076428, 60.097743
92, 15.770286, 57.143979, 55.052134
93, 15.772459, 52.884226, 52.343916
94, 15.764992, 50.512407, 52.017240
95, 15.755388, 50.049759, 52.000000
96, 15.762205, 61.464650, 59.623026
97, 15.769639, 56.619959, 54.827735
98, 15.770361, 52.586519, 52.344219
99, 15.762614, 50.441387, 52.004162
100, 15.752940, 50.035215, 52.000000
101, 15.759879, 61.654438, 59.780551
102, 15.767317, 56.725534, 54.928971
103, 15.768383, 52.738574, 52.416122
104, 15.761305, 50.571745, 52.000000
105, 15.751514, 50.010823, 52.000000
106, 15.758121, 61.551193, 59.741825
107, 15.764990, 56.728155, 55.031949
108, 15.765747, 52.922240, 52.637024
109, 15.759522, 50.844046, 52.074030
110, 15.750619, 50.201454, 52.002824
111, 15.758452, 62.114310, 60.020433
112, 15.766973, 57.204960, 55.158308
113, 15.768963, 53.020277, 52.499157
114, 15.762385, 50.692783, 52.009621
115, 15.752829, 50.058683, 52.000000
116, 15.758772, 60.428359, 58.842087
117, 15.765403, 55.693242, 54.134169
118, 15.763679, 51.769739, 52.075569
119, 15.754392, 50.114405, 52.000000
120, 15.744547, 50.000000, 52.000000
121, 15.751376, 62.159156, 60.274074
122, 15.759440, 57.320098, 55.364670
123, 15.762214, 53.125078, 52.443667
124, 15.755286, 50.600725, 52.000000
125, 15.745486, 50.009210, 52.000000
126, 15.752733, 61.741239, 59.818611
127, 15.760282, 56.745320, 54.925777
128, 15.761090, 52.752302, 52.477960
129, 15.754096, 50.636374, 52.034009
130, 15.744802, 50.114084, 52.000000
131, 15.754192, 64.251131, 61.710351
132, 15.765531, 59.117218, 56.376658
133, 15.772616, 54.478878, 52.839578
134, 15.768741, 51.271239, 52.026494
135, 15.759398, 50.103480, 52.000000
136, 15.766568, 61.778866, 59.842073
137, 15.774867, 56.858439, 54.877660
138, 15.775624, 52.663139, 52.405919
139, 15.768359, 50.542200, 52.005146
140, 15.758688, 50.035561, 52.000000
141, 15.766334, 62.034046, 60.011044
142, 15.775365, 56.974572, 54.853789
143, 15.775785, 52.593627, 52.412847
144, 15.768573, 50.561634, 52.008396
145, 15.759119, 50.079739, 52.000000
146, 15.767511, 63.220129, 60.962855
147, 15.777718, 58.222897, 55.784492
148, 15.782942, 53.709346, 52.512532
149, 15.776435, 50.700211, 52.006049
150, 15.766775, 50.037724, 52.000000
151, 15.774175, 62.313342, 60.298014
152, 15.782694, 57.445503, 55.386506
153, 15.785923, 53.262409, 52.481428
154, 15.779253, 50.655265, 52.000399
155, 15.769456, 50.009900, 52.000000
156, 15.775613, 60.867287, 59.195795
157, 15.781755, 56.080530, 54.581925
158, 15.781302, 52.309186, 52.321449
159, 15.773390, 50.410854, 52.007810
160, 15.763663, 50.024233, 52.000000
161, 15.770742, 62.204622, 60.260247
162, 15.778885, 57.298046, 55.328606
163, 15.781493, 53.063033, 52.421974
164, 15.774458, 50.583215, 52.001909
165, 15.764679, 50.013459, 52.000000
166, 15.771603, 61.387581, 59.556245
167, 15.779478, 56.414431, 54.565784
168, 15.779229, 52.221732, 52.205656
169, 15.770557, 50.247415, 52.002742
170, 15.760784, 50.014782, 52.000000
171, 15.767471, 61.603232, 59.782176
172, 15.775383, 56.718718, 54.833709
173, 15.775717, 52.491283, 52.336926
174, 15.767721, 50.396693, 52.011684
175, 15.757982, 50.021792, 52.000000
176, 15.763961, 60.375443, 58.788534
177, 15.769993, 55.573322, 54.142716
178, 15.768127, 51.760721, 52.093076
179, 15.758901, 50.125958, 52.000000
180, 15.749055, 50.000000, 52.000000
181, 15.755969, 61.720964, 59.861857
182, 15.763753, 56.790132, 54.929271
183, 15.764904, 52.671213, 52.344252
184, 15.757200, 50.443694, 52.001093
185, 15.747399, 50.008967, 52.000000
186, 15.754038, 60.988598, 59.243556
187, 15.761841, 56.014972, 54.212026
188, 15.760200, 51.799243, 52.092850
189, 15.750794, 50.090066, 52.000000
190, 15.740949, 50.000000, 52.000000
191, 15.746816, 60.027576, 58.501921
192, 15.752913, 55.130793, 53.719146
193, 15.748611, 51.277465, 52.121630
194, 15.739437, 50.145372, 52.004674
195, 15.729650, 50.011762, 52.000000
196, 15.737001, 61.964865, 59.995427
197, 15.744791, 56.949433, 55.071007
198, 15.746391, 52.862492, 52.427302
199, 15.739602, 50.636436, 52.002490
200, 15.729897, 50.028397, 52.000000
201, 15.735691, 60.619318, 59.029256
202, 15.741147, 55.882000, 54.526926
203, 15.740295, 52.278140, 52.363386
204, 15.732623, 50.460436, 52.008685
