MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
15, 5, 8.000000, 95, true

Tic, MuscleMass, Anabolic, Catabolic
0, 24.358197, 50.000000, 52.000000
1, 24.380602, 90.303714, 82.533916
2, 24.406556, 85.020470, 76.643993
3, 24.436372, 79.834163, 70.879045
4, 24.470471, 74.750683, 65.247238
5, 24.509349, 69.775077, 59.757442
6, 24.558609, 108.013101, 88.751485
7, 24.612205, 102.446425, 82.745653
8, 24.666688, 96.966655, 76.859137
9, 24.720195, 91.578411, 71.099371
10, 24.772669, 86.285466, 65.473390
11, 24.830080, 127.755873, 97.119179
12, 24.886678, 121.925547, 90.968621
13, 24.942417, 116.173447, 84.930649
14, 24.997250, 110.502702, 79.011283
15, 25.051128, 104.916162, 73.216552
16, 25.109304, 144.308342, 103.256925
17, 25.166707, 138.291533, 97.012875
18, 25.223291, 132.346314, 90.876162
19, 25.279016, 126.475482, 84.852535
20, 25.333836, 120.681453, 78.947537
21, 25.392690, 160.066290, 109.026017
22, 25.450803, 153.892585, 102.700165
23, 25.508133, 147.785391, 96.477420
24, 25.564643, 141.747049, 90.363018
25, 25.620291, 135.779626, 84.362057
26, 25.679826, 175.843090, 115.024375
27, 25.738649, 169.527054, 108.616456
28, 25.796723, 163.273211, 102.307618
29, 25.854012, 157.083605, 96.102723
30, 25.910479, 150.960015, 90.006449
31, 25.970483, 189.014242, 119.414096
32, 26.029796, 182.592174, 112.952745
33, 26.088383, 176.229169, 106.587709
34, 26.146210, 169.927001, 100.323532
35, 26.203243, 163.687247, 94.164618
36, 26.263773, 197.954116, 124.508512
37, 26.323634, 191.467935, 117.986034
38, 26.382793, 185.039030, 111.556774
39, 26.441220, 178.668916, 105.225091
40, 26.498881, 172.359021, 98.995131
41, 26.559951, 199.661832, 129.941512
42, 26.620373, 193.174093, 123.355835
43, 26.680118, 186.743394, 116.860518
44, 26.739156, 180.371062, 110.459542
45, 26.797458, 174.058465, 104.156759
46, 26.859014, 199.564199, 135.084663
47, 26.919942, 193.090332, 128.443054
48, 26.980214, 186.673385, 121.889126
49, 27.039804, 180.314697, 115.426634
50, 27.098682, 174.015628, 109.059195
51, 27.160675, 199.807428, 139.839137
52, 27.222058, 193.344492, 133.148191
53, 27.282804, 186.938339, 126.542585
54, 27.342887, 180.590268, 120.025902
55, 27.402280, 174.301626, 113.601571
56, 27.464601, 199.487392, 144.363699
57, 27.526400, 193.040125, 137.628532
58, 27.587579, 186.649528, 130.976481
