MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
70, 5, 8.000000, 95, true

Tic, MuscleMass, Anabolic, Catabolic
0, 11.799164, 50.000000, 52.000000
1, 11.813845, 72.575678, 68.383549
2, 11.831815, 66.851270, 62.190867
3, 11.853283, 61.262816, 56.205567
4, 11.868257, 55.835855, 52.514543
5, 11.866086, 51.596083, 52.000000
6, 11.886456, 75.165497, 69.200571
7, 11.910477, 69.390193, 62.978220
8, 11.938596, 63.746352, 56.921035
9, 11.964526, 58.243425, 52.429196
10, 11.969662, 53.163775, 52.000000
11, 11.994828, 76.501217, 69.040052
12, 12.023943, 70.709489, 62.830605
13, 12.057293, 65.047809, 56.806725
14, 12.086981, 59.525411, 52.539379
15, 12.098000, 54.507514, 52.000000
16, 12.127315, 78.234379, 69.371142
17, 12.160486, 72.419860, 63.163592
18, 12.197437, 66.733244, 57.120175
19, 12.231541, 61.183514, 52.619894
20, 12.247376, 55.895027, 52.001468
21, 12.279924, 79.306760, 69.143290
22, 12.316000, 73.484450, 62.952632
23, 12.355396, 67.788791, 56.931338
24, 12.392401, 62.228501, 52.424224
25, 12.411987, 56.886656, 52.003815
26, 12.446846, 80.370896, 69.217406
27, 12.485124, 74.545342, 63.039584
28, 12.526315, 68.844890, 57.072472
29, 12.563244, 63.278217, 52.712736
30, 12.584944, 57.948231, 52.000908
31, 12.621041, 81.282937, 69.111697
32, 12.659890, 75.455476, 62.953864
33, 12.701169, 69.751964, 56.998874
34, 12.739472, 64.180860, 52.585660
35, 12.763787, 58.897005, 52.000000
36, 12.801865, 82.993468, 69.731630
37, 12.842611, 77.148508, 63.565446
38, 12.885747, 71.425340, 57.570387
39, 12.926896, 65.832111, 52.761317
40, 12.955298, 60.425770, 52.000000
41, 12.996491, 86.440470, 71.281278
42, 13.040070, 80.546212, 65.091141
43, 13.085802, 74.770710, 59.057958
44, 13.131471, 69.121334, 53.687360
45, 13.166718, 63.605050, 52.007268
46, 13.212065, 89.426322, 71.176200
47, 13.259470, 83.500729, 65.006163
48, 13.308131, 77.691068, 59.036183
49, 13.354340, 72.004304, 54.006053
50, 13.392170, 66.482710, 52.076365
51, 13.439015, 90.635768, 69.955606
52, 13.487428, 84.711603, 63.830364
53, 13.536355, 78.901983, 57.909484
54, 13.582489, 73.213656, 53.424512
55, 13.620437, 67.661373, 52.051773
56, 13.667857, 94.476569, 72.061972
57, 13.716832, 88.504700, 65.900591
58, 13.766429, 82.643956, 59.894043
59, 13.814770, 76.900560, 54.409776
60, 13.857785, 71.280403, 52.125367
61, 13.908045, 96.870017, 71.209253
62, 13.958769, 90.877986, 65.085875
63, 14.009318, 84.994378, 59.139210
64, 14.058524, 79.225362, 54.004281
65, 14.103776, 73.576659, 52.051765
66, 14.155544, 100.823987, 72.490939
67, 14.207364, 94.784519, 66.363203
68, 14.258513, 88.850478, 60.399958
69, 14.308547, 83.027290, 54.730292
70, 14.356767, 77.320226, 52.082115
71, 14.410048, 104.298889, 72.347101
72, 14.462604, 98.223892, 66.228954
73, 14.514033, 92.251334, 60.265258
74, 14.564240, 86.386434, 54.693587
75, 14.613383, 80.634155, 52.061176
76, 14.667067, 108.102197, 72.752952
77, 14.719750, 101.992161, 66.643295
78, 14.771259, 95.981495, 60.685610
79, 14.821577, 90.075289, 55.218586
80, 14.871009, 84.278258, 52.411612
81, 14.924853, 112.129545, 73.441023
