MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 3, 8.000000, 95, true

Tic, MuscleMass, Anabolic, Catabolic
0, 16.642839, 50.000000, 52.000000
1, 16.661550, 80.917452, 75.041215
2, 16.683744, 75.402011, 68.985248
3, 16.709772, 70.001390, 63.079176
4, 16.749139, 100.120802, 85.540450
5, 16.792545, 94.264944, 79.267967
6, 16.840403, 88.509149, 73.126526
7, 16.894529, 120.450998, 97.074303
8, 16.951053, 114.301462, 90.593691
9, 17.006666, 108.240807, 84.233379
10, 17.065336, 139.382616, 107.559857
11, 17.123211, 133.004962, 100.913545
12, 17.180246, 126.707543, 94.378875
13, 17.239907, 156.160673, 116.371270
14, 17.298820, 149.607339, 109.599304
15, 17.356945, 143.127997, 102.932659
16, 17.417539, 173.269886, 125.563856
17, 17.477451, 166.556798, 118.670985
18, 17.536625, 159.912299, 111.877524
19, 17.597957, 187.307770, 133.084118
20, 17.658642, 180.476391, 126.099717
21, 17.718623, 173.709848, 119.210346
22, 17.780451, 197.805023, 142.095345
23, 17.841860, 190.893674, 135.006950
24, 17.902708, 184.044955, 128.009118
25, 17.962443, 199.725179, 150.867930
26, 18.022816, 192.809577, 143.686396
27, 18.083350, 185.956124, 136.591371
28, 18.138025, 199.824209, 158.785708
29, 18.194598, 192.919335, 151.525101
30, 18.252239, 186.076235, 144.347412
31, 18.295797, 199.951058, 168.105558
32, 18.341782, 193.055505, 160.754697
33, 18.390182, 186.220930, 153.482850
34, 18.421321, 199.834690, 176.678397
35, 18.454421, 192.948388, 169.248781
36, 18.489562, 186.122153, 161.894531
37, 18.507623, 199.955082, 186.317864
38, 18.527186, 193.073474, 178.800759
39, 18.548382, 186.250998, 171.355312
40, 18.555353, 199.911261, 194.683232
41, 18.563464, 193.033240, 187.092957
42, 18.572827, 186.213593, 179.571275
43, 18.570916, 199.843707, 201.601543
44, 18.569874, 192.967441, 193.951833
45, 18.569795, 186.148970, 186.368415
46, 18.557492, 199.956046, 210.194503
47, 18.545761, 193.078157, 202.471890
48, 18.534668, 186.257368, 194.812990
49, 18.512303, 199.925949, 218.740610
50, 18.490225, 193.045613, 210.946981
51, 18.468478, 186.221745, 203.214627
52, 18.438245, 199.970249, 225.783022
53, 18.408071, 193.084989, 217.931290
54, 18.377987, 186.255707, 210.138890
55, 18.340075, 199.932796, 232.721019
56, 18.302006, 193.041726, 224.811930
57, 18.263800, 186.206173, 216.960351
58, 18.218805, 199.979246, 239.404672
59, 18.173465, 193.080125, 231.440342
60, 18.127786, 186.236089, 223.531918
61, 18.078536, 199.863767, 243.328148
62, 18.028824, 192.956644, 235.328392
63, 17.978648, 186.104382, 227.383576
64, 17.925839, 199.991939, 246.874195
65, 17.872486, 193.073826, 238.840897
66, 17.818572, 186.210357, 230.861820
67, 17.764180, 199.917665, 248.312124
68, 17.709200, 192.989535, 240.260066
69, 17.653612, 186.115997, 232.261912
70, 17.598425, 199.876071, 249.035543
71, 17.542627, 192.937235, 240.969522
72, 17.486195, 186.052995, 232.957279
73, 17.430784, 199.920754, 249.309893
74, 17.374753, 192.970211, 241.232863
75, 17.318077, 186.074298, 233.209595
76, 17.262467, 199.934540, 249.522710
77, 17.206227, 192.972369, 241.434962
78, 17.149331, 186.064865, 233.400967
79, 17.093817, 199.883590, 249.364547
80, 17.037670, 192.910178, 241.268563
81, 16.980864, 185.991502, 233.226389
82, 16.925205, 199.934579, 249.569890
83, 16.868905, 192.948924, 241.462999
84, 16.811936, 186.018045, 233.409913
85, 16.756154, 199.986876, 249.755565
86, 16.699723, 192.988795, 241.637760
87, 16.642615, 186.045527, 233.573769
88, 16.587216, 199.899685, 249.271947
89, 16.531169, 192.890209, 241.147831
90, 16.474447, 185.935648, 233.077636
91, 16.419031, 199.860835, 249.240790
92, 16.362962, 192.839462, 241.107106
93, 16.306210, 185.873060, 233.027377
94, 16.250701, 199.906676, 249.387748
95, 16.194531, 192.872526, 241.243091
96, 16.137671, 185.893392, 233.152403
97, 16.082629, 199.793628, 248.791942
98, 16.026928, 192.747901, 240.641457
99, 15.970542, 185.757301, 232.545074
100, 15.915070, 199.889304, 249.330207
101, 15.858927, 192.830119, 241.165791
102, 15.802082, 185.826067, 233.055412
103, 15.746805, 199.790314, 249.015992
104, 15.690855, 192.719081, 240.843470
105, 15.634202, 185.703060, 232.725067
106, 15.579105, 199.866146, 248.933924
107, 15.523330, 192.781240, 240.751525
108, 15.466851, 185.751615, 232.623297
109, 15.412056, 199.910724, 248.688954
110, 15.356587, 192.812307, 240.497727
111, 15.300416, 185.769241, 232.360771
112, 15.245604, 199.837553, 248.618036
113, 15.190111, 192.726474, 240.416699
114, 15.133907, 185.670810, 232.269662
115, 15.079626, 199.737509, 247.977377
116, 15.024666, 192.613856, 239.769824
117, 14.969003, 185.545740, 231.616724
