MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,9,8,95, true
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
0,16.528366,50,52,
1,16.547538,81.874438,75.805557,
2,16.570167,76.328883,69.723647,
3,16.59664,70.897698,63.78428,
4,16.627372,65.58802,58.015264,
5,16.659664,60.406743,53.073455,
6,16.675326,55.399612,52,
7,16.671251,51.179282,52,
8,16.661412,50.001375,52,
9,16.651567,50,52,
10,16.670834,82.057446,75.951713,
11,16.693551,76.516418,69.873058,
12,16.720111,71.089555,63.936689,
13,16.750998,65.783847,58.155494,
14,16.78369,60.606132,53.170161,
15,16.80007,55.567087,52.004279,
16,16.796674,51.325304,52,
17,16.786989,50.032424,52,
18,16.777144,50,52,
19,16.795773,80.629047,74.810825,
20,16.817894,75.125957,68.765346,
21,16.843887,69.737609,62.863055,
22,16.874235,64.471537,57.11893,
23,16.904572,59.334773,52.545619,
24,16.915469,54.350797,52,
25,16.908422,50.573137,52,
26,16.898577,50,52,
27,16.888731,50,52,
28,16.907827,81.654164,75.629393,
29,16.930394,76.137595,69.571087,
30,16.956815,70.734904,63.65492,
31,16.987592,65.453323,57.890911,
32,17.020361,60.29968,52.894731,
33,17.035489,55.283266,52.008202,
34,17.030555,51.009514,52,
35,17.020879,50.034419,52,
36,17.011034,50,52,
37,17.030106,81.735871,75.694636,
38,17.052662,76.227459,69.642627,
39,17.079057,70.832489,63.73745,
40,17.109751,65.558188,57.991597,
41,17.141104,60.413327,53.263931,
42,17.156672,55.433642,52.020711,
43,17.15382,51.450326,52,
44,17.144617,50.130601,52,
45,17.134771,50,52,
46,17.153583,81.140023,75.218795,
47,17.17591,75.651734,69.184046,
48,17.20207,70.276781,63.300828,
49,17.232319,65.022729,57.617389,
50,17.264006,59.913777,52.769065,
51,17.277808,54.980289,52,
52,17.272191,50.860737,52,
53,17.262346,50,52,
54,17.252501,50,52,
55,17.271462,81.455808,75.470857,
56,17.293934,75.968812,69.43651,
57,17.320285,70.594756,63.543577,
58,17.350829,65.341079,57.838542,
59,17.383419,60.217792,52.852712,
60,17.398545,55.27023,52,
61,17.393527,50.986985,52,
62,17.383684,50.00043,52,
63,17.373839,50,52,
64,17.392804,81.611063,75.594937,
65,17.415284,76.130475,69.566401,
66,17.441502,70.762443,63.707648,
67,17.471513,65.519428,58.090979,
68,17.503326,60.438339,53.180788,
69,17.519942,55.618305,52.001115,
70,17.516836,51.381571,52,
71,17.507077,50.017391,52,
72,17.497232,50,52,
73,17.516119,81.251826,75.307873,
74,17.538529,75.784858,69.289942,
75,17.564823,70.430503,63.413176,
76,17.595496,65.196383,57.687861,
77,17.62802,60.089364,52.761689,
78,17.642392,55.116441,52.008678,
79,17.636931,50.902408,52,
80,17.627368,50.05729,52,
81,17.617522,50,52,
82,17.63727,83.287009,76.933124,
83,17.66049,77.787629,70.885171,
84,17.687558,72.399603,64.976714,
85,17.718885,67.129739,59.233656,
86,17.753106,61.984516,54.04238,
87,17.775344,56.999848,52.091449,
88,17.777435,52.489776,52,
89,17.76903,50.296128,52,
90,17.75919,50.000991,52,
91,17.778697,82.746405,76.500401,
92,17.801696,77.267348,70.469779,
93,17.828562,71.899626,64.578794,
94,17.859745,66.650224,58.845225,
95,17.893439,61.525695,53.753524,
96,17.913697,56.547478,52.087329,
97,17.91407,52.128714,52,
98,17.905539,50.270696,52,
99,17.895724,50.005919,52,
100,17.9149,81.968659,75.875461,
101,17.937601,76.51398,69.865955,
102,17.964191,71.170702,63.996366,
103,17.995002,65.946092,58.309437,
104,18.028043,60.846829,53.300847,
105,18.046039,55.922199,52.000696,
106,18.043794,51.563901,52,
107,18.034073,50.024997,52,
108,18.024228,50,52,
109,18.043694,82.695585,76.460454,
110,18.066675,77.234835,70.444527,
111,18.093533,71.884722,64.56765,
112,18.124758,66.652386,58.839629,
113,18.158515,61.5444,53.761616,
114,18.179023,56.567519,52.057909,
115,18.179437,52.136334,52,
116,18.170713,50.229444,52,
117,18.160868,50,52,
118,18.17978,81.448101,75.464213,
119,18.202244,76.021272,69.477883,
120,18.228616,70.70558,63.631385,
121,18.25936,65.508543,57.940052,
122,18.291218,60.436905,53.18913,
123,18.30716,55.498768,52.015799,
124,18.304066,51.398962,52,
125,18.294709,50.098927,52,
126,18.284863,50,52,
127,18.305389,85.172757,78.43877,
128,18.329389,79.678752,72.391232,
129,18.357226,74.293267,66.480239,
130,18.389375,69.02287,60.715005,
131,18.425938,63.873772,55.200517,
132,18.456436,58.852504,52.074659,
133,18.465772,54.014418,52,
134,18.458507,50.524709,52,
135,18.448662,50,52,
136,18.468033,82.553711,76.347051,
137,18.490959,77.123052,70.355387,
138,18.517778,71.801919,64.504079,
139,18.548888,66.59766,58.81735,
140,18.583028,61.516878,53.6633,
141,18.603936,56.576031,52.006482,
142,18.603881,52.019952,52,
143,18.594372,50.067919,52,
144,18.584526,50,52,
145,18.604286,83.466754,77.076164,
146,18.627573,78.026248,71.074785,
147,18.654742,72.694763,65.210852,
148,18.686218,67.479366,59.505126,
149,18.720662,62.386421,54.342534,
150,18.744675,57.430814,52.109825,
151,18.74868,52.897335,52,
152,18.74075,50.39232,52,
153,18.730922,50.003441,52,
154,18.751032,84.081539,77.564384,
155,18.774636,78.635847,71.557715,
156,18.802103,73.299047,65.68813,
157,18.83385,68.077753,59.977326,
158,18.869868,62.978156,54.539135,
159,18.896958,58.02706,52.048388,
160,18.902981,53.298097,52,
161,18.894556,50.289169,52,
162,18.88471,50,52,
163,18.904767,84.063378,77.552476,
164,18.928346,78.628337,71.554269,
165,18.955799,73.301406,65.69252,
166,18.987602,68.08951,59.976737,
167,19.023994,62.998905,54.485335,
168,19.051042,58.036136,52.068963,
169,19.05669,53.222816,52,
170,19.04828,50.292997,52,
171,19.038444,50.0019,52,
