MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 3, 8.000000, 95, false

Tic, MuscleMass, Anabolic, Catabolic
0, 16.007823, 50.000000, 52.000000
1, 15.997977, 50.000000, 52.000000
2, 15.988132, 50.000000, 52.000000
3, 15.978287, 50.000000, 52.000000
4, 15.968442, 50.000000, 52.000000
5, 15.958596, 50.000000, 52.000000
6, 15.948751, 50.000000, 52.000000
7, 15.938906, 50.000000, 52.000000
8, 15.929061, 50.000000, 52.000000
9, 15.919215, 50.000000, 52.000000
10, 15.909370, 50.000000, 52.000000
11, 15.899525, 50.000000, 52.000000
12, 15.889679, 50.000000, 52.000000
13, 15.879834, 50.000000, 52.000000
14, 15.869989, 50.000000, 52.000000
15, 15.860144, 50.000000, 52.000000
16, 15.850298, 50.000000, 52.000000
17, 15.840453, 50.000000, 52.000000
18, 15.830608, 50.000000, 52.000000
19, 15.820763, 50.000000, 52.000000
20, 15.810917, 50.000000, 52.000000
21, 15.801072, 50.000000, 52.000000
22, 15.791227, 50.000000, 52.000000
23, 15.781381, 50.000000, 52.000000
24, 15.771536, 50.000000, 52.000000
25, 15.761691, 50.000000, 52.000000
26, 15.751846, 50.000000, 52.000000
27, 15.742000, 50.000000, 52.000000
28, 15.732155, 50.000000, 52.000000
29, 15.722310, 50.000000, 52.000000
30, 15.712465, 50.000000, 52.000000
31, 15.702619, 50.000000, 52.000000
32, 15.692774, 50.000000, 52.000000
33, 15.682929, 50.000000, 52.000000
34, 15.673083, 50.000000, 52.000000
35, 15.663238, 50.000000, 52.000000
36, 15.653393, 50.000000, 52.000000
37, 15.643548, 50.000000, 52.000000
38, 15.633702, 50.000000, 52.000000
39, 15.623857, 50.000000, 52.000000
40, 15.614012, 50.000000, 52.000000
41, 15.604167, 50.000000, 52.000000
42, 15.594321, 50.000000, 52.000000
43, 15.584476, 50.000000, 52.000000
44, 15.574631, 50.000000, 52.000000
45, 15.564786, 50.000000, 52.000000
46, 15.554940, 50.000000, 52.000000
47, 15.545095, 50.000000, 52.000000
48, 15.535250, 50.000000, 52.000000
49, 15.525404, 50.000000, 52.000000
50, 15.515559, 50.000000, 52.000000
51, 15.505714, 50.000000, 52.000000
