MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,5,8,95, false
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
0,15.782046,50,52,
1,15.772201,50,52,
2,15.762355,50,52,
3,15.75251,50,52,
4,15.742665,50,52,
5,15.73282,50,52,
6,15.722974,50,52,
7,15.713129,50,52,
8,15.703284,50,52,
9,15.693439,50,52,
10,15.683593,50,52,
11,15.673748,50,52,
12,15.663903,50,52,
13,15.654057,50,52,
14,15.644212,50,52,
15,15.634367,50,52,
16,15.624522,50,52,
17,15.614676,50,52,
18,15.604831,50,52,
19,15.594986,50,52,
20,15.585141,50,52,
21,15.575295,50,52,
22,15.56545,50,52,
23,15.555605,50,52,
24,15.545759,50,52,
25,15.535914,50,52,
26,15.526069,50,52,
27,15.516224,50,52,
28,15.506378,50,52,
29,15.496533,50,52,
30,15.486688,50,52,
31,15.476843,50,52,
32,15.466997,50,52,
33,15.457152,50,52,
34,15.447307,50,52,
35,15.437462,50,52,
36,15.427616,50,52,
37,15.417771,50,52,
38,15.407926,50,52,
39,15.39808,50,52,
40,15.388235,50,52,
41,15.37839,50,52,
42,15.368545,50,52,
43,15.358699,50,52,
44,15.348854,50,52,
45,15.339009,50,52,
46,15.329164,50,52,
47,15.319318,50,52,
48,15.309473,50,52,
49,15.299628,50,52,
50,15.289782,50,52,
51,15.279937,50,52,
52,15.270092,50,52,
53,15.260247,50,52,
54,15.250401,50,52,
55,15.240556,50,52,
56,15.230711,50,52,
57,15.220866,50,52,
58,15.21102,50,52,
59,15.201175,50,52,
60,15.19133,50,52,
61,15.181484,50,52,
62,15.171639,50,52,
63,15.161794,50,52,
64,15.151949,50,52,
65,15.142103,50,52,
66,15.132258,50,52,
67,15.122413,50,52,
68,15.112568,50,52,
69,15.102722,50,52,
70,15.092877,50,52,
71,15.083032,50,52,
72,15.073187,50,52,
73,15.063341,50,52,
74,15.053496,50,52,
75,15.043651,50,52,
76,15.033805,50,52,
77,15.02396,50,52,
78,15.014115,50,52,
79,15.00427,50,52,
80,14.994424,50,52,
81,14.984579,50,52,
82,14.974734,50,52,
83,14.964889,50,52,
84,14.955043,50,52,
85,14.945198,50,52,
86,14.935353,50,52,
87,14.925507,50,52,
88,14.915662,50,52,
89,14.905817,50,52,
90,14.895972,50,52,
91,14.886126,50,52,
92,14.876281,50,52,
93,14.866436,50,52,
94,14.856591,50,52,
95,14.846745,50,52,
96,14.8369,50,52,
97,14.827055,50,52,
98,14.817209,50,52,
99,14.807364,50,52,
100,14.797519,50,52,
101,14.787674,50,52,
102,14.777828,50,52,
103,14.767983,50,52,
104,14.758138,50,52,
105,14.748293,50,52,
106,14.738447,50,52,
107,14.728602,50,52,
108,14.718757,50,52,
109,14.708912,50,52,
110,14.699066,50,52,
111,14.689221,50,52,
112,14.679376,50,52,
113,14.66953,50,52,
114,14.659685,50,52,
115,14.64984,50,52,
116,14.639995,50,52,
117,14.630149,50,52,
118,14.620304,50,52,
119,14.610459,50,52,
120,14.600614,50,52,
121,14.590768,50,52,
122,14.580923,50,52,
123,14.571078,50,52,
124,14.561232,50,52,
125,14.551387,50,52,
126,14.541542,50,52,
127,14.531697,50,52,
128,14.521851,50,52,
129,14.512006,50,52,
130,14.502161,50,52,
131,14.492316,50,52,
132,14.48247,50,52,
133,14.472625,50,52,
134,14.46278,50,52,
135,14.452935,50,52,
136,14.443089,50,52,
137,14.433244,50,52,
138,14.423399,50,52,
139,14.413553,50,52,
140,14.403708,50,52,
141,14.393863,50,52,
142,14.384018,50,52,
143,14.374172,50,52,
144,14.364327,50,52,
145,14.354482,50,52,
146,14.344637,50,52,
147,14.334791,50,52,
148,14.324946,50,52,
149,14.315101,50,52,
150,14.305255,50,52,
151,14.29541,50,52,
152,14.285565,50,52,
153,14.27572,50,52,
154,14.265874,50,52,
155,14.256029,50,52,
156,14.246184,50,52,
157,14.236339,50,52,
158,14.226493,50,52,
159,14.216648,50,52,
160,14.206803,50,52,
161,14.196957,50,52,
162,14.187112,50,52,
163,14.177267,50,52,
164,14.167422,50,52,
165,14.157576,50,52,
166,14.147731,50,52,
167,14.137886,50,52,
168,14.128041,50,52,
169,14.118195,50,52,
170,14.10835,50,52,
171,14.098505,50,52,
172,14.08866,50,52,
173,14.078814,50,52,
174,14.068969,50,52,
175,14.059124,50,52,
176,14.049278,50,52,
177,14.039433,50,52,
178,14.029588,50,52,
179,14.019743,50,52,
180,14.009897,50,52,
181,14.000052,50,52,
182,13.990207,50,52,
183,13.980362,50,52,
184,13.970516,50,52,
185,13.960671,50,52,
186,13.950826,50,52,
187,13.94098,50,52,
188,13.931135,50,52,
189,13.92129,50,52,
190,13.911445,50,52,
191,13.901599,50,52,
192,13.891754,50,52,
193,13.881909,50,52,
194,13.872064,50,52,
195,13.862218,50,52,
196,13.852373,50,52,
197,13.842528,50,52,
