MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 5, 8.000000, 95, true

Tic, MuscleMass, Anabolic, Catabolic
0, 16.091492, 50.000000, 52.000000
1, 16.110186, 80.784760, 74.935444
2, 16.132355, 75.226610, 68.845693
3, 16.158372, 69.784174, 62.900017
4, 16.188723, 64.465272, 57.113261
5, 16.219066, 59.277161, 52.494147
6, 16.262792, 88.881416, 74.615089
7, 16.311234, 83.180672, 68.543698
8, 16.362195, 77.589647, 62.617800
9, 16.412763, 72.115098, 56.939340
10, 16.460766, 66.763042, 52.789437
11, 16.514434, 96.715690, 75.283110
12, 16.567556, 90.893478, 69.209763
13, 16.619599, 85.175083, 63.281056
14, 16.670444, 79.566143, 57.513074
15, 16.720239, 74.071824, 52.868595
16, 16.774671, 105.467091, 76.598031
17, 16.828070, 99.520846, 70.509286
18, 16.880366, 93.672539, 64.563523
19, 16.931482, 87.926807, 58.770193
20, 16.981449, 82.288079, 53.610576
21, 17.036037, 113.909568, 77.598941
22, 17.089607, 107.856082, 71.503772
23, 17.142089, 101.894836, 65.549502
24, 17.193411, 96.030066, 59.754135
25, 17.243549, 90.265748, 54.361984
26, 17.298172, 121.186212, 77.864783
27, 17.351784, 115.049826, 71.779156
28, 17.404312, 109.001520, 65.833744
29, 17.455684, 103.045115, 60.039491
30, 17.505953, 97.184192, 54.941916
31, 17.560804, 129.092972, 79.286576
32, 17.614659, 122.870645, 73.184292
33, 17.667451, 116.732241, 67.219932
34, 17.719107, 110.681227, 61.402528
35, 17.769590, 104.720860, 55.911669
36, 17.824581, 136.474424, 80.185354
37, 17.878588, 130.177907, 74.078119
38, 17.931544, 123.961748, 68.107094
39, 17.983377, 117.829230, 62.281351
40, 18.034038, 111.783349, 56.717951
41, 18.089205, 143.887439, 81.317346
42, 18.143399, 137.521053, 75.199955
43, 18.196554, 131.232015, 69.217428
44, 18.248602, 125.023221, 63.378381
45, 18.299483, 118.897375, 57.744183
46, 18.355035, 152.881025, 83.872133
47, 18.409638, 146.432089, 77.716034
48, 18.463230, 140.057077, 71.691661
49, 18.515746, 133.758552, 65.808002
50, 18.567130, 127.538968, 60.129143
51, 18.622830, 159.868858, 84.974310
52, 18.677596, 153.363984, 78.811717
53, 18.731365, 146.930245, 72.778710
54, 18.784076, 140.570120, 66.883381
55, 18.835662, 134.285929, 61.152918
56, 18.891579, 167.010326, 86.342927
