MODEL SETTING
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50, 5, 6.000000, 95, true

Tic, MuscleMass, Anabolic, Catabolic
0, 16.077122, 50.000000, 52.000000
1, 16.094708, 81.571739, 75.989250
2, 16.115006, 77.847461, 71.768993
3, 16.138164, 74.180181, 67.621725
4, 16.164407, 70.573063, 63.551431
5, 16.194000, 67.028491, 59.561670
6, 16.235352, 99.043530, 83.970408
7, 16.279843, 95.091603, 79.631137
8, 16.327673, 91.191617, 75.361225
9, 16.379084, 87.346022, 71.164164
10, 16.431852, 83.556734, 67.043082
11, 16.488612, 116.468837, 92.209971
12, 16.544761, 112.334594, 87.764372
13, 16.600269, 108.248108, 83.384545
14, 16.655113, 104.210949, 79.073216
15, 16.709266, 100.224325, 74.832837
16, 16.766918, 131.848790, 99.001796
17, 16.823992, 127.581586, 94.481068
18, 16.880463, 123.358198, 90.022627
19, 16.936307, 119.180001, 85.629019
20, 16.991502, 115.048028, 81.302479
21, 17.050083, 148.079004, 106.616310
22, 17.108118, 143.688427, 102.016468
23, 17.165585, 139.338406, 97.475685
24, 17.222463, 135.030060, 92.996213
25, 17.278731, 130.764251, 88.580042
26, 17.338149, 163.802579, 113.914922
27, 17.397048, 159.306638, 109.245220
28, 17.455407, 154.848674, 104.631935
29, 17.513208, 150.429605, 100.077050
30, 17.570433, 146.050138, 95.582328
31, 17.630484, 177.696398, 119.833102
32, 17.690037, 173.119696, 115.114366
33, 17.749075, 168.578754, 110.449756
34, 17.807579, 164.074418, 105.841166
35, 17.865532, 159.607338, 101.290264
36, 17.926305, 191.842030, 126.912262
37, 17.986601, 187.189579, 122.135192
38, 18.046404, 182.571193, 117.410132
39, 18.105699, 177.987541, 112.738731
40, 18.164470, 173.439162, 108.122476
41, 18.225920, 199.203830, 133.981624
42, 18.286918, 194.523553, 129.150158
43, 18.347444, 189.876600, 124.368683
44, 18.407484, 185.263458, 119.638691
45, 18.467025, 180.684594, 114.961537
46, 18.528883, 199.869819, 140.816891
47, 18.590488, 195.204694, 135.936744
48, 18.651675, 190.572702, 131.104724
49, 18.712398, 185.974293, 126.322215
50, 18.772642, 181.409922, 121.590474
51, 18.834231, 199.876489, 147.606912
52, 18.895999, 195.230483, 142.681306
53, 18.957634, 190.617428, 137.802072
54, 19.018976, 186.037781, 132.970549
55, 19.079883, 181.492004, 128.187916
56, 19.138403, 199.936189, 155.760439
57, 19.198234, 195.308570, 150.780175
58, 19.258739, 190.713611, 145.844441
59, 19.319553, 186.151806, 140.954433
60, 19.380482, 181.623647, 136.111245
61, 19.430181, 199.985818, 163.797702
62, 19.481896, 195.375646, 158.766669
63, 19.535516, 190.797485, 153.778120
64, 19.590880, 186.251900, 148.833218
65, 19.647842, 181.739466, 143.933036
66, 19.687777, 199.912894, 170.615088
67, 19.729487, 195.318666, 165.543916
68, 19.772988, 190.755712, 160.513382
69, 19.818358, 186.224600, 155.524625
70, 19.865623, 181.725917, 150.578677
71, 19.894080, 199.980711, 178.710639
72, 19.923969, 195.398321, 173.589240
73, 19.955383, 190.846403, 168.506540
74, 19.988395, 186.325509, 163.463572
75, 20.023082, 181.836213, 158.461297
76, 20.040587, 199.804739, 186.521637
77, 20.059285, 195.232130, 181.351994
78, 20.079261, 190.689283, 176.219260
79, 20.100577, 186.176749, 171.124421
80, 20.123298, 181.695094, 166.068382
81, 20.129865, 199.876562, 194.871123
82, 20.137410, 195.308799, 189.648959
83, 20.145998, 190.770108, 184.462046
84, 20.155680, 186.261028, 179.311269
85, 20.166508, 181.782115, 174.197464
86, 20.163982, 199.879998, 202.034289
87, 20.162251, 195.314302, 196.766963
88, 20.161372, 190.777127, 191.533516
89, 20.161389, 186.269005, 186.334789
90, 20.162345, 181.790485, 181.171571
91, 20.151827, 199.906473, 208.599442
92, 20.141938, 195.340024, 203.290325
93, 20.132733, 190.801637, 198.013880
94, 20.124248, 186.291833, 192.770919
95, 20.116520, 181.811156, 187.562194
96, 20.097394, 199.888990, 215.824265
97, 20.078737, 195.319654, 210.468531
98, 20.060591, 190.777887, 205.144261
99, 20.042989, 186.264208, 199.852215
100, 20.025957, 181.779153, 194.593103
101, 20.000447, 199.961548, 221.438268
102, 19.975286, 195.386264, 216.044778
103, 19.950510, 190.838199, 210.681864
104, 19.926145, 186.317863, 205.350254
105, 19.902213, 181.825789, 200.050625
106, 19.869789, 199.908016, 227.552181
107, 19.837582, 195.325591, 222.117431
108, 19.805623, 190.770015, 216.712304
109, 19.773931, 186.241797, 211.337496
110, 19.742524, 181.741465, 205.993652
111, 19.703401, 199.961842, 233.763471
112, 19.664371, 195.369452, 228.286140
113, 19.625458, 190.803553, 222.837524
114, 19.586677, 186.264647, 217.418282
115, 19.548038, 181.753255, 212.029027
116, 19.503168, 199.888565, 239.114391
117, 19.458279, 195.284914, 233.598534
118, 19.413391, 190.707460, 228.110606
119, 19.368514, 186.156706, 222.651240
120, 19.323654, 181.633170, 217.221032
121, 19.273197, 199.975893, 244.547989
122, 19.222629, 195.358038, 238.991818
123, 19.171960, 190.766075, 233.462880
124, 19.121193, 186.200502, 227.961755
125, 19.070329, 181.661837, 222.489007
126, 19.017417, 199.855185, 246.801646
127, 18.964343, 195.222627, 241.221226
128, 18.911116, 190.615858, 235.667723
129, 18.857736, 186.035387, 230.141719
130, 18.804202, 181.481733, 224.643769
131, 18.749961, 199.868739, 248.101471
132, 18.695535, 195.219645, 242.500935
133, 18.640926, 190.596303, 236.927191
134, 18.586134, 185.999224, 231.380796
135, 18.531155, 181.428931, 225.862299
136, 18.476407, 199.900350, 248.635666
137, 18.421458, 195.233914, 243.018577
138, 18.366309, 190.593246, 237.428236
139, 18.310959, 185.978856, 231.865197
140, 18.255403, 181.391272, 226.330007
141, 18.200093, 199.917235, 249.206251
142, 18.144565, 195.233060, 243.572028
143, 18.088821, 190.574662, 237.964509
144, 18.032856, 185.942557, 232.384240
145, 17.976666, 181.337275, 226.831766
146, 17.921264, 199.947878, 249.333045
147, 17.865637, 195.245379, 243.683631
148, 17.809783, 190.568701, 238.060938
149, 17.753697, 185.918360, 232.465506
150, 17.697375, 181.294890, 226.897884
151, 17.642366, 199.962554, 248.965295
152, 17.587128, 195.241484, 243.303013
153, 17.531661, 190.546311, 237.667522
154, 17.475960, 185.877558, 232.059376
155, 17.420021, 181.235762, 226.479127
156, 17.365201, 199.822148, 248.606467
157, 17.310146, 195.083263, 242.931114
158, 17.254856, 190.370345, 237.282603
159, 17.199325, 185.683928, 231.661505
160, 17.143550, 181.024558, 226.068378
161, 17.089161, 199.876429, 248.251751
162, 17.034534, 195.118218, 242.563057
163, 16.979670, 190.386054, 236.901287
164, 16.924564, 185.680470, 231.267012
165, 16.869212, 181.002015, 225.660795
166, 16.815921, 199.719957, 246.986003
167, 16.762398, 194.943594, 241.288686
168, 16.708648, 190.193415, 235.618462
169, 16.654667, 185.469965, 229.975935
170, 16.600450, 180.773801, 224.361681
171, 16.546777, 199.827402, 247.489997
172, 16.492860, 195.031147, 241.774616
173, 16.438701, 190.261095, 236.086311
174, 16.384295, 185.517789, 230.425667
175, 16.329636, 180.801789, 224.793256
176, 16.276719, 199.806285, 246.725288
177, 16.223559, 194.990494, 240.998194
178, 16.170161, 190.201015, 235.298296
179, 16.116520, 185.438392, 229.626202
180, 16.062632, 180.703191, 223.982493
181, 16.010256, 199.661020, 246.026199
182, 15.957637, 194.826366, 240.287023
183, 15.904778, 190.018116, 234.575141
184, 15.851675, 185.236830, 228.891174
185, 15.798324, 180.483080, 223.235718
186, 15.746368, 199.849878, 245.843716
187, 15.694170, 194.994030, 240.089442
188, 15.641731, 190.164659, 234.362558
189, 15.589049, 185.362321, 228.663670
190, 15.536116, 180.587590, 222.993371
191, 15.484705, 199.821966, 245.287263
192, 15.433047, 194.946047, 239.519773
193, 15.381147, 190.096708, 233.779760
194, 15.329002, 185.274506, 228.067852
195, 15.276608, 180.480019, 222.384652
196, 15.226208, 199.579509, 244.009439
197, 15.175569, 194.684733, 238.232440
198, 15.124699, 189.816666, 232.483103
199, 15.073594, 184.975886, 226.762078
200, 15.022249, 180.162982, 221.069980
201, 14.972689, 199.935820, 243.629441
202, 14.922901, 195.018327, 237.838037
203, 14.872889, 190.127654, 232.074463
204, 14.822650, 185.264360, 226.339343
205, 14.772179, 180.429033, 220.633284
206, 14.724598, 199.812667, 241.568272
207, 14.676812, 194.875517, 235.771537
208, 14.628829, 189.965403, 230.002950
209, 14.580650, 185.082901, 224.263179
210, 14.532270, 180.228606, 218.552856
211, 14.486915, 199.584994, 239.174654
212, 14.441393, 194.629274, 233.374888
213, 14.395761, 189.700844, 227.603701
214, 14.350084, 184.800314, 221.861781
215, 14.304245, 179.928336, 216.149808
216, 14.261341, 199.650018, 237.074385
217, 14.218319, 194.674671, 231.270706
218, 14.175178, 189.726914, 225.496047
219, 14.131917, 184.807350, 219.751105
220, 14.088535, 179.916598, 214.036547
221, 14.048536, 199.516872, 234.165818
222, 14.008473, 194.523948, 228.363330
223, 13.968345, 189.558928, 222.590403
224, 13.928153, 184.622433, 216.847764
225, 13.887896, 179.715093, 211.136101
226, 13.851236, 199.222032, 230.747583
227, 13.814551, 194.213596, 224.950365
228, 13.777857, 189.233432, 219.183315
229, 13.741161, 184.282190, 213.447207
230, 13.704467, 179.360515, 207.742764
231, 13.671846, 199.126979, 226.930403
232, 13.639289, 194.103080, 221.141937
233, 13.606801, 189.107885, 215.384418
234, 13.574392, 184.142061, 209.658633
235, 13.542069, 179.206267, 203.965331
236, 13.514132, 199.225736, 222.835077
237, 13.486342, 194.186849, 217.058730
238, 13.458716, 189.177165, 211.314202
239, 13.431267, 184.197350, 205.602317
240, 13.404008, 179.248073, 199.923849
241, 13.380822, 198.955989, 218.350027
242, 13.357879, 193.906553, 212.590290
243, 13.335198, 188.886840, 206.863296
244, 13.312795, 183.897545, 201.169907
245, 13.290688, 178.939355, 195.510936
246, 13.271317, 199.501087, 215.639848
247, 13.252268, 194.438091, 209.888189
248, 13.233562, 189.405207, 204.169983
249, 13.215219, 184.403109, 198.486089
250, 13.197259, 179.432486, 192.837336
251, 13.181821, 199.378438, 212.121270
252, 13.166785, 194.307931, 206.384155
253, 13.152180, 189.267969, 200.681262
254, 13.138028, 184.259238, 195.013497
255, 13.124355, 179.282440, 189.381725
256, 13.113347, 199.161263, 208.176043
257, 13.102830, 194.085787, 202.458200
258, 13.092838, 189.041330, 196.775454
259, 13.083403, 184.028611, 191.128758
260, 13.074554, 179.048343, 185.519011
261, 13.068662, 198.901334, 203.699169
262, 13.063380, 193.823465, 198.006316
263, 13.058744, 188.777163, 192.349601
264, 13.054786, 183.763157, 186.730004
265, 13.051542, 178.782177, 181.148461
266, 13.050745, 199.130031, 199.845798
267, 13.050659, 194.049197, 194.176532
268, 13.051332, 189.000441, 188.544376
269, 13.052808, 183.984495, 182.950340
270, 13.055127, 179.002090, 177.395388
271, 13.058675, 199.002682, 196.312568
272, 13.063026, 193.923763, 190.667449
273, 13.068237, 188.877349, 185.060254
274, 13.074355, 183.864191, 179.492042
275, 13.081428, 178.885031, 173.963817
276, 13.089835, 198.852896, 192.404900
277, 13.099160, 193.778320, 186.788550
278, 13.109464, 188.736745, 181.211113
279, 13.120800, 183.728915, 175.673658
280, 13.133221, 178.755581, 170.177220
281, 13.145899, 199.241519, 189.551643
282, 13.159594, 194.170248, 183.959356
283, 13.174370, 189.132331, 178.406743
284, 13.190285, 184.128507, 172.894895
285, 13.207398, 179.159522, 167.424865
286, 13.223783, 199.249312, 186.795760
287, 13.241265, 194.185868, 181.228832
288, 13.259916, 189.156083, 175.702216
289, 13.279799, 184.160696, 170.217042
290, 13.300979, 179.200452, 164.774391
291, 13.320048, 199.462025, 185.001661
292, 13.340281, 194.406838, 179.454844
293, 13.361750, 189.385478, 173.948798
294, 13.384523, 184.398668, 168.484641
295, 13.408664, 179.447150, 163.063457
296, 13.430734, 199.462794, 182.786760
297, 13.454037, 194.418439, 177.264072
298, 13.478653, 189.408079, 171.782620
299, 13.504654, 184.432450, 166.343575
300, 13.532109, 179.492297, 160.948046
301, 13.555112, 199.512897, 182.143910
302, 13.579379, 194.480144, 176.635222
303, 13.604988, 189.481381, 171.167915
304, 13.632008, 184.517324, 165.743114
305, 13.660510, 179.588712, 160.361921
306, 13.686406, 199.261508, 179.833841
307, 13.713630, 194.242745, 174.351634
308, 13.742267, 189.258124, 168.911233
309, 13.772392, 184.308384, 163.513828
310, 13.804081, 179.394268, 158.160551
311, 13.831507, 199.663124, 179.089606
312, 13.860301, 194.655261, 173.623377
313, 13.890548, 189.681540, 168.199129
314, 13.922324, 184.742671, 162.818026
315, 13.955707, 179.839385, 157.481193
316, 13.984329, 199.804907, 178.356700
317, 14.014348, 194.810064, 172.906810
318, 14.045855, 189.849330, 167.499012
319, 14.078926, 184.923402, 162.134468
320, 14.113639, 180.033004, 156.814300
321, 14.143191, 199.608990, 177.535937
322, 14.174166, 194.629609, 172.103500
323, 14.206651, 189.684288, 166.713217
324, 14.240725, 184.773734, 161.366259
325, 14.276469, 179.898670, 156.063754
326, 14.307207, 199.485935, 176.600121
327, 14.339390, 194.521770, 171.186145
328, 14.373114, 189.591635, 165.814392
329, 14.408458, 184.696240, 160.486071
330, 14.445505, 179.836310, 155.202322
331, 14.476708, 199.506890, 176.276643
332, 14.509373, 194.557292, 170.876674
333, 14.543594, 189.641615, 165.518904
334, 14.579452, 184.760562, 160.204527
335, 14.617028, 179.914851, 154.934679
336, 14.647586, 199.755509, 176.933368
337, 14.679594, 194.818831, 171.540006
338, 14.713147, 189.915874, 166.188604
339, 14.748321, 185.047321, 160.880329
340, 14.785199, 180.213882, 155.616296
341, 14.815371, 199.652837, 177.136796
342, 14.846987, 194.730845, 171.753339
343, 14.880135, 189.842410, 166.411654
344, 14.914896, 184.988223, 161.112896
345, 14.951347, 180.168985, 155.858172
346, 14.980387, 199.763358, 178.027136
347, 15.010844, 194.854265, 172.647983
348, 15.042810, 189.978500, 167.310264
349, 15.076361, 185.136738, 162.015126
350, 15.111575, 180.329674, 156.763662
351, 15.139620, 199.712604, 178.681094
352, 15.169057, 194.816764, 173.307492
353, 15.199982, 189.954053, 167.975012
354, 15.232470, 185.125141, 162.684821
355, 15.266597, 180.330719, 157.438003
356, 15.293190, 199.687370, 179.706527
357, 15.321146, 194.803979, 174.335432
358, 15.350553, 189.953488, 169.005110
359, 15.381484, 185.136565, 163.716688
360, 15.414013, 180.353898, 158.471234
361, 15.438911, 199.602077, 180.851249
362, 15.465136, 194.730752, 175.481197
363, 15.492770, 189.892100, 170.151538
364, 15.521885, 185.086786, 164.863368
365, 15.552554, 180.315491, 159.617738
366, 15.575548, 199.688686, 182.303458
367, 15.599822, 194.827503, 176.931572
368, 15.625460, 189.998744, 171.599620
369, 15.652533, 185.203067, 166.308703
370, 15.681112, 180.441145, 161.059862
371, 15.702724, 199.648030, 183.266741
372, 15.725578, 194.796956, 177.895880
373, 15.749763, 189.978119, 172.564598
374, 15.775350, 185.192171, 167.274012
375, 15.802407, 180.439782, 162.025158
376, 15.822259, 199.636911, 184.536160
377, 15.843331, 194.795111, 179.163670
378, 15.865700, 189.985328, 173.830458
379, 15.889431, 185.208215, 168.537577
380, 15.914589, 180.464436, 163.286030
381, 15.932208, 199.617856, 186.173837
382, 15.950989, 194.784529, 180.796650
383, 15.971011, 189.982979, 175.458233
384, 15.992339, 185.213857, 170.159657
385, 16.015038, 180.477823, 164.901924
386, 16.029690, 199.732894, 188.500988
387, 16.045446, 194.906203, 183.113641
388, 16.062376, 190.111002, 177.764530
389, 16.080540, 185.347932, 172.454669
390, 16.099998, 180.617645, 167.185025
391, 16.111677, 199.673556, 190.703453
392, 16.124392, 194.853425, 185.306131
393, 16.138212, 190.064512, 179.946475
394, 16.153192, 185.307455, 174.625480
395, 16.169390, 180.582904, 169.344100
396, 16.179199, 199.661772, 192.099009
397, 16.190001, 194.846772, 186.696173
398, 16.201868, 190.062812, 181.330630
399, 16.214857, 185.310528, 176.003400
400, 16.229021, 180.590566, 170.715428
401, 16.236224, 199.845708, 194.257375
402, 16.244374, 195.033803, 188.843302
403, 16.253534, 190.252706, 183.466095
404, 16.263755, 185.503039, 178.126716
405, 16.275090, 180.785440, 172.826079
406, 16.279779, 199.927207, 196.287157
407, 16.285360, 195.118051, 190.862206
408, 16.291896, 190.339498, 185.473673
409, 16.299436, 185.592156, 180.122505
410, 16.308028, 180.876660, 174.809598
411, 16.309487, 199.841094, 198.739996
412, 16.311773, 195.034747, 193.300781
413, 16.314942, 190.258748, 187.897447
414, 16.319040, 185.513708, 182.530911
415, 16.324113, 180.800259, 177.202050
416, 16.323351, 199.692688, 200.374420
417, 16.323361, 194.888391, 194.925635
418, 16.324200, 190.114278, 189.512313
419, 16.325915, 185.370967, 184.135391
420, 16.328548, 180.659087, 178.795742
421, 16.326134, 199.917345, 201.902646
422, 16.324463, 195.111928, 196.444104
423, 16.323590, 190.336561, 191.020770
424, 16.323556, 185.591845, 185.633545
425, 16.324402, 180.878406, 180.283283
426, 16.319645, 199.827794, 203.714699
427, 16.315577, 195.022570, 198.244375
428, 16.312253, 190.247227, 192.808853
429, 16.309713, 185.502371, 187.409035
430, 16.307997, 180.788626, 182.045769
431, 16.300794, 199.876606, 205.756278
432, 16.294232, 195.069812, 200.272023
433, 16.288360, 190.292728, 194.822182
434, 16.283217, 185.545953, 189.407632
435, 16.278838, 180.830106, 184.029206
436, 16.269058, 199.846370, 207.838833
437, 16.259871, 195.037570, 202.339734
438, 16.251321, 190.258294, 196.874662
439, 16.243443, 185.509144, 191.444470
440, 16.236270, 180.790740, 186.049972
441, 16.223607, 199.757325, 210.165340
442, 16.211472, 194.945865, 204.649388
443, 16.199910, 190.163739, 199.166991
444, 16.188955, 185.411550, 193.719002
445, 16.178635, 180.689916, 188.306225
446, 16.164134, 199.900553, 211.853584
447, 16.150124, 195.083912, 206.323787
448, 16.136647, 190.296484, 200.827266
449, 16.123734, 185.538863, 195.364850
450, 16.111413, 180.811663, 189.937327
451, 16.094982, 199.904197, 213.503423
452, 16.079002, 195.082533, 207.959656
453, 16.063512, 190.289966, 202.448873
454, 16.048540, 185.527088, 196.971886
455, 16.034112, 180.794514, 191.529474
456, 16.016311, 199.859397, 214.618869
457, 15.998933, 195.032295, 209.063761
458, 15.982013, 190.234216, 203.541436
459, 15.965578, 185.465754, 198.052702
460, 15.949655, 180.727526, 192.598333
461, 15.930615, 199.869416, 215.690281
462, 15.911967, 195.035947, 210.123671
463, 15.893750, 190.231441, 204.589655
464, 15.875988, 185.456492, 199.089044
465, 15.858706, 180.711715, 193.622609
466, 15.838653, 199.686495, 216.356082
467, 15.818971, 194.847381, 210.780018
468, 15.799695, 190.037191, 205.236416
469, 15.780850, 185.256533, 199.726092
470, 15.762460, 180.506025, 194.249819
471, 15.742121, 199.826966, 216.765803
472, 15.722147, 194.979769, 211.181578
473, 15.702570, 190.161509, 205.629805
474, 15.683416, 185.372787, 200.111282
475, 15.664707, 180.614219, 194.626776
476, 15.644619, 199.772903, 216.482792
477, 15.624897, 194.918732, 210.894363
478, 15.605576, 190.093557, 205.338452
479, 15.586679, 185.297983, 199.815869
480, 15.568230, 180.532631, 194.327383
481, 15.547547, 199.775724, 216.996156
482, 15.527214, 194.914210, 211.398778
483, 15.507266, 190.081681, 205.833842
484, 15.487728, 185.278743, 200.302158
485, 15.468620, 180.506020, 194.804496
486, 15.447405, 199.773757, 217.439355
487, 15.426534, 194.904652, 211.833168
488, 15.406036, 190.064522, 206.259392
489, 15.385934, 185.253981, 200.718816
490, 15.366249, 180.473652, 195.212207
491, 15.346685, 199.486496, 215.719100
492, 15.327489, 194.611479, 210.117139
493, 15.308695, 189.765625, 204.547876
494, 15.290329, 184.949562, 199.012144
495, 15.272414, 180.163926, 193.510732
496, 15.252819, 199.897186, 216.182309
497, 15.233591, 195.012335, 210.571686
498, 15.214764, 190.156666, 204.993776
499, 15.196362, 185.330784, 199.449390
500, 15.178409, 180.535320, 193.939307
501, 15.158140, 199.921846, 216.776641
502, 15.138225, 195.029489, 211.156496
503, 15.118698, 190.166295, 205.569000
504, 15.099580, 185.332867, 200.014950
505, 15.080894, 180.529838, 194.495118
506, 15.061719, 199.740783, 215.655319
507, 15.042915, 194.842024, 210.035975
508, 15.024515, 189.972552, 204.449472
509, 15.006545, 185.132991, 198.896639
510, 14.989029, 180.323979, 193.378265
511, 14.969826, 199.933139, 215.882191
512, 14.950992, 195.025899, 210.255619
513, 14.932562, 190.147977, 204.661918
514, 14.914557, 185.299984, 199.101896
515, 14.897003, 180.482557, 193.576338
516, 14.877567, 199.807244, 215.946248
517, 14.858496, 194.893463, 210.313437
518, 14.839820, 190.009025, 204.713501
519, 14.821562, 185.154550, 199.147250
520, 14.803747, 180.330680, 193.615470
521, 14.784676, 199.663654, 215.500751
522, 14.765968, 194.743349, 209.864821
523, 14.747656, 189.852465, 204.261834
524, 14.729766, 184.991630, 198.692621
525, 14.712321, 180.161490, 193.157983
526, 14.694494, 199.642703, 214.418737
527, 14.677052, 194.715282, 208.783565
528, 14.660030, 189.817421, 203.181568
529, 14.643455, 184.949754, 197.613595
530, 14.627352, 180.112930, 192.080457
531, 14.610546, 199.746234, 213.656275
532, 14.594146, 194.811355, 208.020237
533, 14.578188, 189.906155, 202.417593
534, 14.562698, 185.031263, 196.849183
535, 14.547702, 180.187330, 191.315817
536, 14.532477, 199.519227, 212.068893
537, 14.517688, 194.579434, 206.437428
538, 14.503373, 189.669482, 200.839650
539, 14.489560, 184.790027, 195.276437
540, 14.476278, 179.941728, 189.748621
541, 14.462628, 199.456034, 210.662719
542, 14.449447, 194.510908, 205.035208
543, 14.436776, 189.595800, 199.441709
544, 14.424642, 184.711367, 193.883105
545, 14.413076, 179.858272, 188.360237
546, 14.400783, 199.811165, 209.882625
547, 14.388989, 194.858705, 204.255694
548, 14.377733, 189.936396, 198.663040
549, 14.367045, 185.044876, 193.105523
550, 14.356956, 180.184808, 187.583982
551, 14.346479, 199.372657, 207.920701
552, 14.336538, 194.418525, 202.302480
553, 14.327174, 189.494730, 196.718881
554, 14.318421, 184.601945, 191.170813
555, 14.310309, 179.740846, 185.659142
556, 14.301149, 199.739627, 207.207491
557, 14.292554, 194.779412, 201.590628
558, 14.284565, 189.849665, 196.008638
559, 14.277215, 184.951036, 190.462412
560, 14.270539, 180.084198, 184.952812
561, 14.263130, 199.770588, 205.806650
562, 14.256319, 194.807051, 200.196108
563, 14.250152, 189.874145, 194.620750
564, 14.244665, 184.972527, 189.081487
